"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06089","Shasta County, California","68961","676","null","null","4797","null","467","null","5255","null","460","null","4432","446","null","null","4731","null","437","null","4155","null","431","null","4079","null","445","null","3721","null","417","null","3606","380","null","null","3472","402","null","null","5458","null","472","null","7153","535","null","null","7362","510","null","null","4410","null","401","null","2133","362","null","null","2495","null","317","null","1702","null","236","null",
"0500000US06091","Sierra County, California","1291","163","null","null","79","null","60","null","104","null","62","null","148","81","null","null","41","null","27","null","74","null","51","null","64","null","48","null","62","null","40","null","100","57","null","null","41","35","null","null","98","null","49","null","96","60","null","null","138","59","null","null","122","null","61","null","23","26","null","null","53","null","41","null","48","null","48","null",
"0500000US06093","Siskiyou County, California","19380","354","null","null","1616","null","189","null","1908","null","247","null","1705","216","null","null","1753","null","226","null","1128","null","153","null","1094","null","178","null","919","null","156","null","1038","177","null","null","807","150","null","null","1660","null","211","null","1875","213","null","null","1979","210","null","null","680","null","141","null","521","119","null","null","399","null","119","null","298","null","103","null",
"0500000US06095","Solano County, California","142521","1395","null","null","6927","null","561","null","6444","null","573","null","5168","531","null","null","5538","null","526","null","5452","null","436","null","5909","null","543","null","5235","null","465","null","5970","539","null","null","5136","515","null","null","11275","null","679","null","14927","659","null","null","20939","964","null","null","15307","null","880","null","9766","635","null","null","10715","null","709","null","7813","null","611","null",
"0500000US06097","Sonoma County, California","186935","1208","null","null","8236","null","617","null","8026","null","642","null","7820","492","null","null","9161","null","685","null","8003","null","575","null","8134","null","608","null","7750","null","625","null","7994","570","null","null","8127","601","null","null","15096","null","856","null","18700","922","null","null","25262","915","null","null","17925","null","856","null","11657","698","null","null","12867","null","618","null","12177","null","690","null",
"0500000US06099","Stanislaus County, California","168090","903","null","null","11372","null","854","null","11080","null","711","null","10127","715","null","null","8742","null","601","null","9492","null","580","null","9603","null","748","null","9000","null","762","null","8688","657","null","null","6449","551","null","null","14173","null","802","null","17139","914","null","null","19914","883","null","null","13054","null","709","null","8016","679","null","null","6403","null","467","null","4838","null","434","null",
"0500000US06101","Sutter County, California","31723","387","null","null","1606","null","271","null","1944","null","292","null","2017","255","null","null","1862","null","267","null","1576","null","259","null","1589","null","228","null","1664","null","241","null","1749","313","null","null","1260","217","null","null","2826","null","343","null","3283","381","null","null","3732","439","null","null","2652","null","362","null","1264","226","null","null","1702","null","252","null","997","null","196","null",
"0500000US06103","Tehama County, California","23480","447","null","null","1567","null","252","null","1656","null","301","null","1621","271","null","null","1709","null","290","null","1490","null","256","null","1756","null","273","null","1469","null","274","null","1100","262","null","null","1149","199","null","null","2083","null","298","null","2350","302","null","null","2383","280","null","null","1449","null","248","null","718","166","null","null","440","null","138","null","540","null","156","null",
"0500000US06105","Trinity County, California","5521","215","null","null","365","null","123","null","523","null","123","null","484","139","null","null","457","null","145","null","296","null","84","null","564","null","156","null","172","null","75","null","230","100","null","null","309","102","null","null","352","null","119","null","472","122","null","null","660","165","null","null","280","null","105","null","137","77","null","null","104","null","64","null","116","null","67","null",
"0500000US06107","Tulare County, California","132706","771","null","null","10382","null","698","null","9269","null","725","null","9931","636","null","null","9050","null","564","null","8525","null","616","null","8335","null","616","null","7124","null","550","null","6435","588","null","null","6137","557","null","null","10872","null","639","null","12326","795","null","null","13440","968","null","null","8049","null","738","null","5100","582","null","null","4681","null","488","null","3050","null","327","null",
"0500000US06109","Tuolumne County, California","22181","573","null","null","1334","null","233","null","1417","null","244","null","1481","342","null","null","1197","null","255","null","1367","null","272","null","1406","null","301","null","1115","null","219","null","919","168","null","null","1247","257","null","null","2265","null","336","null","2064","302","null","null","2695","326","null","null","1422","null","240","null","704","205","null","null","888","null","234","null","660","null","162","null",
"0500000US06111","Ventura County, California","267829","963","null","null","9304","null","699","null","9271","null","548","null","9511","653","null","null","10150","null","725","null","9017","null","686","null","10166","null","633","null","9058","null","648","null","10323","674","null","null","9388","698","null","null","17690","null","808","null","25615","981","null","null","38189","1198","null","null","28817","null","968","null","20767","909","null","null","24096","null","1013","null","26467","null","851","null",
"0500000US06113","Yolo County, California","70953","626","null","null","5084","null","411","null","4468","null","493","null","4116","406","null","null","3716","null","411","null","3402","null","400","null","2897","null","338","null","2890","null","389","null","2727","371","null","null","3058","382","null","null","5086","null","543","null","6157","541","null","null","7678","537","null","null","6668","null","547","null","3900","397","null","null","4937","null","405","null","4169","null","333","null",
"0500000US06115","Yuba County, California","24712","425","null","null","1581","null","264","null","1570","null","268","null","1684","296","null","null","1723","null","271","null","1636","null","291","null","1625","null","308","null","1180","null","214","null","1211","246","null","null","1369","266","null","null","2160","null","339","null","2608","358","null","null","3197","356","null","null","1528","null","277","null","700","160","null","null","647","null","171","null","293","null","131","null",
