"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06067","Sacramento County, California","527335","1526","null","null","33333","1355","null","null","29810","null","1383","null","24921","1127","null","null","25303","null","1061","null","25132","null","929","null","24728","1018","null","null","23206","1015","null","null","23475","959","null","null","21398","null","958","null","41178","null","1151","null","53378","1312","null","null","66546","1474","null","null","47907","1366","null","null","28451","null","1042","null","32661","null","1095","null","25908","null","876","null",
"0500000US06069","San Benito County, California","17390","159","null","null","489","132","null","null","647","null","171","null","664","129","null","null","737","null","188","null","557","null","144","null","710","146","null","null","754","196","null","null","678","136","null","null","553","null","140","null","1187","null","172","null","1839","244","null","null","2595","259","null","null","2163","276","null","null","1021","null","185","null","1625","null","250","null","1171","null","179","null",
"0500000US06071","San Bernardino County, California","618922","2288","null","null","40943","1498","null","null","34004","null","1480","null","31554","1219","null","null","33042","null","1234","null","30872","null","1376","null","29769","1136","null","null","28808","1178","null","null","29621","1284","null","null","25356","null","1087","null","50318","null","1616","null","65115","1786","null","null","79266","2000","null","null","54240","2008","null","null","30844","null","1479","null","32658","null","1134","null","22512","null","946","null",
"0500000US06073","San Diego County, California","1103128","2860","null","null","61158","1622","null","null","44613","null","1444","null","42674","1371","null","null","46991","null","1414","null","45388","null","1724","null","47301","1426","null","null","43620","1534","null","null","45445","1520","null","null","41702","null","1535","null","82404","null","2139","null","105468","2390","null","null","141686","2658","null","null","108429","2137","null","null","72052","null","2031","null","84607","null","1992","null","89590","null","1864","null",
"0500000US06075","San Francisco County, California","356797","1619","null","null","22457","1129","null","null","20708","null","1214","null","12701","834","null","null","12106","null","842","null","10129","null","755","null","10310","695","null","null","9028","737","null","null","9532","651","null","null","8406","null","608","null","17317","null","870","null","25947","1067","null","null","36378","1343","null","null","33890","1258","null","null","24935","null","1177","null","37190","null","1226","null","65763","null","1584","null",
"0500000US06077","San Joaquin County, California","221707","951","null","null","13501","832","null","null","12791","null","689","null","11411","678","null","null","12935","null","778","null","10815","null","593","null","11122","733","null","null","9258","587","null","null","10109","579","null","null","8938","null","694","null","17672","null","885","null","22342","967","null","null","27356","1055","null","null","20327","1039","null","null","11439","null","681","null","12485","null","562","null","9206","null","611","null",
"0500000US06079","San Luis Obispo County, California","104404","919","null","null","6453","690","null","null","4783","null","476","null","3924","411","null","null","4634","null","490","null","4206","null","577","null","4172","504","null","null","4142","452","null","null","4656","544","null","null","3997","null","475","null","8005","null","572","null","10602","725","null","null","14307","898","null","null","10486","743","null","null","6294","null","454","null","7134","null","531","null","6609","null","532","null",
"0500000US06081","San Mateo County, California","261010","932","null","null","8038","477","null","null","6152","null","545","null","6554","717","null","null","7781","null","587","null","6588","null","545","null","7672","505","null","null","7060","533","null","null","7868","644","null","null","7198","null","626","null","14298","null","795","null","21186","894","null","null","31737","1191","null","null","26467","1027","null","null","21441","null","847","null","28647","null","889","null","52323","null","944","null",
"0500000US06083","Santa Barbara County, California","143051","855","null","null","7366","631","null","null","6489","null","575","null","6405","516","null","null","5360","null","476","null","6268","null","543","null","6898","618","null","null","6187","496","null","null","5703","490","null","null","5416","null","450","null","10180","null","712","null","13777","678","null","null","18621","936","null","null","13058","815","null","null","9128","null","651","null","10426","null","603","null","11769","null","645","null",
"0500000US06085","Santa Clara County, California","626579","1547","null","null","22491","831","null","null","19179","null","912","null","16400","861","null","null","17579","null","782","null","16591","null","992","null","18359","830","null","null","16283","773","null","null","17367","856","null","null","16052","null","893","null","32065","null","1022","null","47310","1356","null","null","68990","1705","null","null","66364","1567","null","null","51033","null","1281","null","75884","null","1559","null","124632","null","1969","null",
"0500000US06087","Santa Cruz County, California","95062","658","null","null","5572","573","null","null","3827","null","390","null","3662","381","null","null","4414","null","430","null","3457","null","400","null","3690","476","null","null","3653","391","null","null","3548","457","null","null","3330","null","491","null","6624","null","631","null","8775","678","null","null","11745","831","null","null","9114","588","null","null","5909","null","496","null","8164","null","589","null","9578","null","598","null",
"0500000US06089","Shasta County, California","69713","574","null","null","4686","468","null","null","5175","null","525","null","4190","380","null","null","4696","null","378","null","4164","null","408","null","4035","348","null","null","3918","436","null","null","3572","375","null","null","3220","null","340","null","5387","null","430","null","7422","513","null","null","7312","546","null","null","4645","387","null","null","2586","null","321","null","2784","null","319","null","1921","null","240","null",
"0500000US06091","Sierra County, California","1275","144","null","null","90","61","null","null","82","null","55","null","119","60","null","null","44","null","32","null","63","null","47","null","49","37","null","null","101","68","null","null","96","52","null","null","48","null","40","null","70","null","34","null","92","57","null","null","105","64","null","null","130","66","null","null","70","null","53","null","54","null","34","null","62","null","54","null",
"0500000US06093","Siskiyou County, California","19045","385","null","null","1721","226","null","null","1491","null","218","null","1482","180","null","null","1606","null","232","null","1355","null","222","null","1071","181","null","null","1064","181","null","null","765","104","null","null","828","null","165","null","1722","null","247","null","1816","213","null","null","1988","233","null","null","691","134","null","null","604","null","118","null","508","null","130","null","333","null","88","null",
"0500000US06095","Solano County, California","145315","947","null","null","6944","579","null","null","6317","null","554","null","5382","465","null","null","5574","null","515","null","5527","null","450","null","5857","512","null","null","5375","533","null","null","6067","533","null","null","5083","null","430","null","11099","null","678","null","14591","677","null","null","21298","823","null","null","15102","673","null","null","10772","null","720","null","11465","null","624","null","8862","null","520","null",
"0500000US06097","Sonoma County, California","189043","1028","null","null","7930","594","null","null","7725","null","540","null","7270","561","null","null","7932","null","621","null","7865","null","704","null","7674","609","null","null","8211","591","null","null","6978","469","null","null","7833","null","642","null","15154","null","896","null","19434","822","null","null","25349","970","null","null","18623","924","null","null","12344","null","664","null","14650","null","868","null","14071","null","633","null",
"0500000US06099","Stanislaus County, California","170328","901","null","null","10000","662","null","null","10641","null","851","null","9659","730","null","null","8661","null","713","null","9191","null","576","null","9608","735","null","null","8132","641","null","null","8500","791","null","null","7748","null","681","null","14707","null","846","null","17212","941","null","null","21031","1012","null","null","13794","913","null","null","7980","null","598","null","7611","null","549","null","5853","null","524","null",
"0500000US06101","Sutter County, California","32028","361","null","null","1846","250","null","null","2083","null","278","null","1882","239","null","null","1529","null","229","null","1655","null","259","null","1779","304","null","null","1573","237","null","null","1396","236","null","null","1399","null","255","null","2456","null","284","null","3553","381","null","null","3818","315","null","null","2820","311","null","null","1639","null","241","null","1528","null","256","null","1072","null","171","null",
"0500000US06103","Tehama County, California","23573","477","null","null","1414","273","null","null","1766","null","357","null","1883","345","null","null","1826","null","356","null","1666","null","257","null","1609","283","null","null","1456","298","null","null","1044","254","null","null","1137","null","306","null","1810","null","268","null","2330","330","null","null","2557","367","null","null","1273","238","null","null","738","null","154","null","525","null","155","null","539","null","173","null",
"0500000US06105","Trinity County, California","5468","225","null","null","566","138","null","null","485","null","131","null","502","154","null","null","623","null","186","null","186","null","60","null","361","113","null","null","172","55","null","null","276","104","null","null","241","null","102","null","355","null","98","null","499","127","null","null","559","118","null","null","342","107","null","null","103","null","42","null","87","null","64","null","111","null","54","null",
"0500000US06107","Tulare County, California","134153","756","null","null","10404","652","null","null","9533","null","839","null","10189","739","null","null","9260","null","625","null","7985","null","644","null","8142","682","null","null","7492","663","null","null","6552","581","null","null","6647","null","540","null","10452","null","673","null","12521","725","null","null","13263","778","null","null","8505","704","null","null","5113","null","495","null","4569","null","477","null","3526","null","446","null",
"0500000US06109","Tuolumne County, California","22083","509","null","null","1345","272","null","null","1422","null","265","null","1275","244","null","null","1038","null","233","null","1624","null","361","null","1350","270","null","null","1084","255","null","null","813","173","null","null","891","null","191","null","2209","null","329","null","2224","275","null","null","2586","350","null","null","1600","267","null","null","715","null","201","null","947","null","205","null","960","null","217","null",
"0500000US06111","Ventura County, California","269338","1020","null","null","8831","679","null","null","8532","null","519","null","8706","631","null","null","9603","null","647","null","9243","null","646","null","10230","672","null","null","9106","584","null","null","9924","633","null","null","9194","null","609","null","18666","null","944","null","26670","983","null","null","37145","1064","null","null","29687","1072","null","null","20187","null","867","null","25008","null","1030","null","28606","null","1011","null",
"0500000US06113","Yolo County, California","72544","578","null","null","5722","406","null","null","4143","null","436","null","4063","461","null","null","3021","null","448","null","3119","null","384","null","2944","360","null","null","3120","365","null","null","2909","333","null","null","2901","null","355","null","5364","null","461","null","6741","505","null","null","7827","615","null","null","6369","492","null","null","4112","null","348","null","5032","null","440","null","5157","null","422","null",
"0500000US06115","Yuba County, California","25655","402","null","null","1440","221","null","null","1704","null","302","null","1572","277","null","null","1785","null","314","null","1512","null","291","null","1470","274","null","null","1296","260","null","null","1131","227","null","null","1277","null","260","null","2286","null","356","null","2867","343","null","null","3072","364","null","null","1861","270","null","null","899","null","189","null","1062","null","268","null","421","null","159","null",
