"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06059","Orange County, California","1040001","2374","null","null","42707","1739","null","null","27574","1452","null","null","24264","null","1347","null","28877","1269","null","null","28800","null","1432","null","31242","null","1389","null","28214","1335","null","null","31165","1550","null","null","27330","null","1411","null","60588","null","1786","null","86558","2095","null","null","130136","2241","null","null","112305","null","1997","null","89106","null","2574","null","117592","null","2778","null","173543","2730","null","null",
"0500000US06061","Placer County, California","145714","730","null","null","5427","623","null","null","3998","469","null","null","4015","null","522","null","4207","416","null","null","4213","null","492","null","4499","null","452","null","4058","562","null","null","3937","616","null","null","3788","null","451","null","8234","null","534","null","12001","769","null","null","19296","948","null","null","16315","null","862","null","11755","null","698","null","17536","null","924","null","22435","978","null","null",
"0500000US06063","Plumas County, California","8332","278","null","null","478","155","null","null","511","115","null","null","386","null","150","null","331","126","null","null","309","null","133","null","440","null","193","null","573","172","null","null","363","128","null","null","326","null","134","null","551","null","141","null","792","183","null","null","1063","193","null","null","863","null","135","null","442","null","119","null","542","null","160","null","362","124","null","null",
"0500000US06065","Riverside County, California","736413","2254","null","null","38063","1676","null","null","26825","1099","null","null","27274","null","1326","null","30527","1340","null","null","29078","null","1106","null","29383","null","1308","null","26508","1220","null","null","29890","1482","null","null","25457","null","1295","null","50825","null","1567","null","74019","2294","null","null","94677","2359","null","null","77660","null","1874","null","52061","null","1763","null","62368","null","1847","null","61798","2079","null","null",
"0500000US06067","Sacramento County, California","547519","1431","null","null","26417","1152","null","null","22929","1329","null","null","19231","null","1174","null","19921","1073","null","null","20560","null","1235","null","22341","null","1153","null","20918","1000","null","null","21431","1047","null","null","18932","null","1052","null","42547","null","1606","null","52889","1738","null","null","72211","2027","null","null","56523","null","1690","null","39819","null","1602","null","45950","null","1494","null","44900","1294","null","null",
"0500000US06069","San Benito County, California","18389","178","null","null","442","125","null","null","409","146","null","null","461","null","129","null","436","144","null","null","664","null","204","null","388","null","153","null","674","169","null","null","507","145","null","null","733","null","212","null","1134","null","219","null","2184","360","null","null","2446","296","null","null","2246","null","282","null","1691","null","321","null","1918","null","308","null","2056","272","null","null",
"0500000US06071","San Bernardino County, California","640090","1894","null","null","30136","1264","null","null","26810","1364","null","null","24282","null","1283","null","27599","1566","null","null","26166","null","1396","null","28285","null","1385","null","26115","1475","null","null","27151","1035","null","null","25064","null","1342","null","50255","null","1925","null","67049","2260","null","null","87923","2308","null","null","63025","null","1831","null","41334","null","1587","null","48366","null","1800","null","40530","1614","null","null",
"0500000US06073","San Diego County, California","1130703","2942","null","null","46664","2272","null","null","35675","1364","null","null","33169","null","1630","null","37182","1573","null","null","38509","null","1693","null","38817","null","1786","null","36954","1440","null","null","38388","1647","null","null","34530","null","1358","null","76023","null","2419","null","103138","2634","null","null","143354","2936","null","null","119642","null","2598","null","88653","null","2380","null","114636","null","2901","null","145369","3197","null","null",
"0500000US06075","San Francisco County, California","362141","1924","null","null","16757","1347","null","null","17553","1130","null","null","10199","null","912","null","9217","622","null","null","9037","null","900","null","7679","null","732","null","6994","780","null","null","7382","601","null","null","7018","null","725","null","14132","null","928","null","21356","1187","null","null","31447","1620","null","null","29056","null","1383","null","25916","null","1316","null","43434","null","1727","null","104964","2305","null","null",
"0500000US06077","San Joaquin County, California","231092","1027","null","null","11552","860","null","null","8566","645","null","null","8898","null","626","null","9593","803","null","null","9572","null","789","null","9757","null","671","null","8754","746","null","null","8539","631","null","null","8176","null","817","null","17905","null","941","null","23343","1144","null","null","30072","1158","null","null","23101","null","1090","null","16181","null","1069","null","19334","null","1042","null","17749","1112","null","null",
