"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06019","Fresno County, California","307906","null","1137","null","21025","null","1039","null","18162","null","981","null","15904","null","779","null","18342","null","961","null","15456","null","939","null","16446","887","null","null","13158","null","860","null","14270","809","null","null","11406","null","779","null","22576","null","1023","null","30333","null","1151","null","36876","null","1297","null","25446","null","1043","null","15561","null","871","null","17908","null","801","null","15037","750","null","null",
"0500000US06021","Glenn County, California","10085","null","209","null","661","null","208","null","901","null","207","null","586","null","147","null","612","null","208","null","586","null","167","null","280","121","null","null","374","null","161","null","629","190","null","null","448","null","128","null","1043","null","205","null","897","null","207","null","1191","null","216","null","732","null","173","null","596","null","167","null","277","null","84","null","272","73","null","null",
"0500000US06023","Humboldt County, California","54679","null","795","null","4020","null","492","null","4217","null","499","null","2902","null","376","null","3286","null","439","null","3307","null","442","null","2555","343","null","null","2970","null","421","null","2516","307","null","null","2460","null","345","null","4297","null","405","null","5053","null","480","null","6372","null","603","null","3974","null","437","null","2250","null","351","null","2283","null","375","null","2217","341","null","null",
"0500000US06025","Imperial County, California","44829","null","876","null","3429","null","500","null","4276","null","493","null","3110","null","355","null","2561","null","407","null","2330","null","331","null","2032","329","null","null","1943","null","385","null","1905","380","null","null","1928","null","307","null","2777","null","375","null","4179","null","485","null","5389","null","471","null","3948","null","478","null","1894","null","345","null","1820","null","301","null","1308","242","null","null",
"0500000US06027","Inyo County, California","7950","null","252","null","265","null","99","null","404","null","107","null","339","null","111","null","386","null","101","null","385","null","101","null","515","131","null","null","432","null","113","null","431","139","null","null","359","null","124","null","578","null","123","null","1095","null","220","null","993","null","170","null","772","null","147","null","398","null","104","null","342","null","86","null","256","73","null","null",
"0500000US06029","Kern County, California","270282","null","1291","null","17271","null","1179","null","15213","null","1007","null","14826","null","973","null","14821","null","933","null","14700","null","978","null","14480","927","null","null","12947","null","784","null","11874","987","null","null","11074","null","810","null","20416","null","1165","null","27448","null","1307","null","30874","null","1401","null","23241","null","1110","null","13129","null","812","null","16048","null","893","null","11920","727","null","null",
"0500000US06031","Kings County, California","43452","null","495","null","2251","null","372","null","1973","null","342","null","2236","null","354","null","1778","null","311","null","2192","null","369","null","2360","327","null","null","1928","null","310","null","2266","345","null","null","1997","null","337","null","3432","null","472","null","5261","null","445","null","5964","null","516","null","3916","null","431","null","2149","null","321","null","2126","null","263","null","1623","278","null","null",
"0500000US06033","Lake County, California","25660","null","710","null","1880","null","358","null","1983","null","322","null","1338","null","248","null","1350","null","266","null","1651","null","344","null","1366","257","null","null","1523","null","308","null","1256","286","null","null","1422","null","302","null","1886","null","346","null","2092","null","337","null","3126","null","432","null","1774","null","269","null","1005","null","186","null","1175","null","278","null","833","194","null","null",
"0500000US06035","Lassen County, California","9280","null","371","null","347","null","78","null","509","null","132","null","472","null","128","null","530","null","134","null","396","null","109","null","523","117","null","null","355","null","94","null","489","126","null","null","377","null","116","null","921","null","172","null","1005","null","181","null","1135","null","190","null","910","null","175","null","493","null","118","null","539","null","117","null","279","88","null","null",
"0500000US06037","Los Angeles County, California","3316795","null","5782","null","185622","null","3065","null","157633","null","2635","null","135556","null","2423","null","142811","null","2441","null","129873","null","2231","null","138123","2419","null","null","126853","null","2517","null","127576","1954","null","null","116721","null","2408","null","225974","null","3003","null","300644","null","3633","null","408135","null","4079","null","310236","null","3564","null","213893","null","2732","null","258815","null","3306","null","338330","4049","null","null",
