"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06019","Fresno County, California","289811","null","1344","null","22847","null","967","null","20250","null","1039","null","19646","null","959","null","19130","897","null","null","16975","792","null","null","16512","null","897","null","14017","null","856","null","14208","null","851","null","12179","null","810","null","22052","968","null","null","28119","null","1285","null","31850","null","1030","null","19756","null","978","null","11918","null","699","null","11617","766","null","null","8735","640","null","null",
"0500000US06021","Glenn County, California","9628","null","244","null","573","null","156","null","849","null","186","null","821","null","200","null","611","171","null","null","613","139","null","null","675","null","161","null","510","null","132","null","317","null","91","null","612","null","171","null","666","156","null","null","817","null","172","null","1108","null","225","null","578","null","152","null","354","null","134","null","181","69","null","null","343","110","null","null",
"0500000US06023","Humboldt County, California","53296","null","644","null","4294","null","443","null","4473","null","414","null","3779","null","503","null","3569","388","null","null","3135","358","null","null","3662","null","395","null","2857","null","350","null","2733","null","394","null","2421","null","314","null","4449","366","null","null","5185","null","411","null","5631","null","473","null","3358","null","342","null","1405","null","256","null","1303","274","null","null","1042","195","null","null",
"0500000US06025","Imperial County, California","48099","null","587","null","4468","null","436","null","4503","null","383","null","3603","null","335","null","3180","416","null","null","2718","428","null","null","2547","null","376","null","2048","null","335","null","2453","null","336","null","1558","null","255","null","3354","373","null","null","4441","null","403","null","5346","null","478","null","3305","null","392","null","2032","null","302","null","1508","245","null","null","1035","173","null","null",
"0500000US06027","Inyo County, California","7873","null","224","null","412","null","100","null","652","null","171","null","530","null","133","null","468","118","null","null","568","141","null","null","356","null","94","null","449","null","114","null","528","null","138","null","324","null","104","null","454","107","null","null","710","null","153","null","1030","null","166","null","678","null","125","null","226","null","90","null","302","93","null","null","186","73","null","null",
"0500000US06029","Kern County, California","255271","null","1607","null","17527","null","901","null","17896","null","1094","null","16348","null","1056","null","15393","948","null","null","15344","870","null","null","13688","null","887","null","12827","null","641","null","11797","null","779","null","9697","null","670","null","19964","944","null","null","25715","null","1103","null","29743","null","1182","null","19647","null","1064","null","11208","null","757","null","10898","621","null","null","7579","524","null","null",
"0500000US06031","Kings County, California","40785","null","543","null","2879","null","419","null","2427","null","313","null","2241","null","362","null","2533","350","null","null","2316","310","null","null","2512","null","309","null","1947","null","275","null","2285","null","323","null","2135","null","277","null","3440","450","null","null","4478","null","460","null","4356","null","388","null","2744","null","365","null","1671","null","268","null","1825","299","null","null","996","190","null","null",
"0500000US06033","Lake County, California","26505","null","669","null","2346","null","357","null","2567","null","397","null","2301","null","365","null","2208","353","null","null","1845","347","null","null","1591","null","308","null","1201","null","273","null","1286","null","221","null","1155","null","250","null","2085","276","null","null","2122","null","333","null","2339","null","318","null","1638","null","298","null","742","null","194","null","617","165","null","null","462","181","null","null",
"0500000US06035","Lassen County, California","9945","null","420","null","684","null","177","null","706","null","141","null","445","null","127","null","532","164","null","null","612","169","null","null","393","null","120","null","364","null","162","null","524","null","167","null","420","null","112","null","857","159","null","null","1249","null","252","null","1430","null","251","null","741","null","162","null","430","null","143","null","382","106","null","null","176","88","null","null",
"0500000US06037","Los Angeles County, California","3230383","null","5065","null","209050","null","2900","null","190300","null","2743","null","173380","null","3035","null","167740","2521","null","null","154347","2611","null","null","155834","null","2309","null","143103","null","2993","null","140946","null","2450","null","126807","null","2216","null","241482","3109","null","null","303887","null","3423","null","384881","null","4257","null","268689","null","3066","null","169129","null","2412","null","189195","2706","null","null","211613","2438","null","null",
