"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06061","Placer County, California","131775","null","903","null","4963","null","564","null","4741","null","535","null","4993","null","492","null","4941","522","null","null","5233","530","null","null","5349","504","null","null","5382","null","572","null","4950","null","450","null","4305","406","null","null","9735","627","null","null","12707","662","null","null","18398","null","975","null","15362","null","767","null","10360","null","643","null","11180","608","null","null","9176","674","null","null",
"0500000US06063","Plumas County, California","9109","null","390","null","597","null","196","null","705","null","150","null","492","null","157","null","437","160","null","null","734","172","null","null","602","129","null","null","414","null","141","null","537","null","179","null","436","127","null","null","924","221","null","null","876","170","null","null","953","null","196","null","637","null","171","null","266","null","106","null","246","84","null","null","253","125","null","null",
"0500000US06065","Riverside County, California","676618","null","3103","null","34121","null","1326","null","34706","null","1280","null","33279","null","1335","null","36757","1340","null","null","34675","1216","null","null","34059","1240","null","null","31927","null","1294","null","32626","null","1423","null","27386","1156","null","null","53385","1444","null","null","69344","1935","null","null","90192","null","2107","null","59196","null","1890","null","39508","null","1301","null","37923","1325","null","null","27534","1010","null","null",
"0500000US06067","Sacramento County, California","512496","null","1979","null","27987","null","1132","null","29311","null","1276","null","24331","null","1161","null","25786","1032","null","null","25486","1189","null","null","26846","820","null","null","25209","null","964","null","24117","null","982","null","20114","880","null","null","42756","1426","null","null","54363","1501","null","null","66770","null","1633","null","44825","null","1173","null","27171","null","1075","null","27308","1122","null","null","20116","867","null","null",
"0500000US06069","San Benito County, California","16840","null","207","null","629","null","145","null","894","null","222","null","660","null","204","null","847","196","null","null","537","146","null","null","833","169","null","null","661","null","153","null","676","null","192","null","575","148","null","null","1507","251","null","null","1707","286","null","null","2404","null","282","null","1666","null","252","null","1117","null","213","null","1251","210","null","null","876","188","null","null",
"0500000US06071","San Bernardino County, California","599698","null","2515","null","36174","null","1367","null","31645","null","1262","null","30738","null","1210","null","30891","1297","null","null","30169","1490","null","null","30175","1121","null","null","28230","null","1124","null","29153","null","1179","null","26144","1236","null","null","51809","1890","null","null","62260","2080","null","null","79631","null","1955","null","51890","null","1403","null","31072","null","1289","null","29778","1397","null","null","19939","942","null","null",
"0500000US06073","San Diego County, California","1067462","null","3323","null","60589","null","2110","null","47365","null","1507","null","43066","null","1473","null","48283","1423","null","null","46262","1650","null","null","47764","1438","null","null","45036","null","1513","null","46848","null","1662","null","42454","1338","null","null","80929","1874","null","null","104010","2319","null","null","141272","null","2403","null","101010","null","2061","null","67520","null","1563","null","75232","2087","null","null","69822","1601","null","null",
"0500000US06075","San Francisco County, California","340839","null","1860","null","22764","null","1059","null","21249","null","920","null","13779","null","827","null","13769","948","null","null","11534","741","null","null","12079","878","null","null","9891","null","739","null","11232","null","840","null","9586","661","null","null","19663","1012","null","null","26887","1110","null","null","37121","null","1344","null","32275","null","1141","null","22702","null","1076","null","30871","1141","null","null","45437","1334","null","null",
"0500000US06077","San Joaquin County, California","213632","null","1178","null","11805","null","724","null","12591","null","840","null","11530","null","690","null","11574","690","null","null","10639","683","null","null","10891","712","null","null","10832","null","773","null","9901","null","722","null","9317","636","null","null","17399","917","null","null","21731","870","null","null","27062","null","1102","null","19274","null","945","null","10660","null","781","null","11019","713","null","null","7407","581","null","null",
"0500000US06079","San Luis Obispo County, California","101708","null","1085","null","5969","null","539","null","5219","null","489","null","4720","null","518","null","4722","454","null","null","4468","580","null","null","5309","546","null","null","4225","null","520","null","4746","null","583","null","4196","458","null","null","7537","588","null","null","10294","746","null","null","13655","null","700","null","9664","null","669","null","6109","null","500","null","6198","496","null","null","4677","397","null","null",
"0500000US06081","San Mateo County, California","257369","null","824","null","8030","null","667","null","7242","null","559","null","6762","null","530","null","7433","577","null","null","8035","651","null","null","8140","541","null","null","7611","null","543","null","8829","null","632","null","8274","665","null","null","16494","840","null","null","24071","1038","null","null","31806","null","1109","null","27002","null","925","null","21335","null","1029","null","26007","1111","null","null","40298","1089","null","null",
"0500000US06083","Santa Barbara County, California","141247","null","1000","null","7209","null","537","null","6380","null","490","null","6567","null","534","null","6340","515","null","null","6226","507","null","null","6657","612","null","null","5843","null","587","null","6184","null","515","null","5586","559","null","null","11386","645","null","null","14305","881","null","null","17639","null","874","null","12665","null","595","null","8860","null","605","null","9833","572","null","null","9567","562","null","null",
"0500000US06085","Santa Clara County, California","604455","null","1764","null","23543","null","1208","null","19358","null","873","null","17365","null","923","null","18998","903","null","null","18333","864","null","null","17691","878","null","null","17139","null","854","null","19785","null","978","null","16919","991","null","null","34784","1385","null","null","49403","1413","null","null","74428","null","1817","null","66546","null","1554","null","49894","null","1370","null","67566","1565","null","null","92703","1746","null","null",
"0500000US06087","Santa Cruz County, California","93310","null","901","null","5468","null","528","null","4631","null","557","null","3649","null","370","null","4039","479","null","null","3550","357","null","null","4129","467","null","null","3685","null","384","null","3546","null","482","null","2878","343","null","null","6610","636","null","null","9312","618","null","null","11746","null","737","null","8940","null","768","null","6201","null","439","null","7298","623","null","null","7628","467","null","null",
