"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06093","Siskiyou County, California","19018","362","null","null","1637","null","198","null","1411","null","202","null","1248","157","null","null","1525","211","null","null","1256","191","null","null","1100","null","170","null","1175","null","217","null","805","135","null","null","872","168","null","null","1551","null","195","null","1917","null","245","null","2062","null","246","null","975","163","null","null","584","127","null","null","552","null","139","null","348","null","92","null",
"0500000US06095","Solano County, California","147352","738","null","null","6558","null","496","null","5792","null","476","null","4577","510","null","null","5539","441","null","null","5263","506","null","null","5746","null","552","null","5442","null","503","null","6054","430","null","null","5392","505","null","null","10567","null","653","null","14601","null","739","null","21277","null","864","null","16033","695","null","null","11319","678","null","null","12884","null","636","null","10308","null","559","null",
"0500000US06097","Sonoma County, California","190058","1004","null","null","7537","null","577","null","7853","null","571","null","7099","590","null","null","6834","554","null","null","7054","540","null","null","7189","null","587","null","7619","null","637","null","6840","592","null","null","6574","580","null","null","14851","null","891","null","19271","null","1011","null","26873","null","1133","null","18935","755","null","null","12816","649","null","null","16379","null","821","null","16334","null","831","null",
"0500000US06099","Stanislaus County, California","171324","939","null","null","9312","null","719","null","10158","null","707","null","8960","671","null","null","8598","657","null","null","8184","573","null","null","9577","null","685","null","8257","null","637","null","8149","627","null","null","7705","702","null","null","14149","null","818","null","17402","null","921","null","21998","null","1241","null","15081","904","null","null","8930","698","null","null","8409","null","640","null","6455","null","541","null",
"0500000US06101","Sutter County, California","32188","390","null","null","1702","null","247","null","1864","null","319","null","1712","254","null","null","1621","258","null","null","1577","233","null","null","1917","null","317","null","1623","null","252","null","1409","236","null","null","1550","240","null","null","2378","null","297","null","3597","null","355","null","4011","null","347","null","2739","323","null","null","1768","236","null","null","1599","null","260","null","1121","null","178","null",
"0500000US06103","Tehama County, California","23712","493","null","null","1486","null","295","null","1686","null","286","null","1811","314","null","null","1993","351","null","null","1441","269","null","null","1583","null","300","null","1339","null","258","null","925","197","null","null","1035","214","null","null","1994","null","316","null","2132","null","326","null","2711","null","334","null","1462","253","null","null","720","134","null","null","708","null","177","null","686","null","218","null",
"0500000US06105","Trinity County, California","5462","241","null","null","541","null","147","null","495","null","144","null","435","143","null","null","579","159","null","null","183","55","null","null","438","null","131","null","140","null","53","null","358","127","null","null","191","89","null","null","328","null","91","null","494","null","146","null","557","null","143","null","359","113","null","null","103","56","null","null","176","null","95","null","85","null","40","null",
"0500000US06107","Tulare County, California","135144","801","null","null","10230","null","790","null","9230","null","680","null","9667","821","null","null","9163","673","null","null","7380","587","null","null","7840","null","560","null","7911","null","621","null","6284","597","null","null","6438","619","null","null","10673","null","745","null","12613","null","845","null","13940","null","860","null","9217","782","null","null","5502","618","null","null","4897","null","507","null","4159","null","455","null",
"0500000US06109","Tuolumne County, California","22267","535","null","null","1352","null","321","null","1351","null","271","null","1169","260","null","null","994","214","null","null","1374","273","null","null","1035","null","247","null","1064","null","256","null","930","202","null","null","938","209","null","null","1926","null","336","null","2156","null","334","null","2968","null","421","null","1873","276","null","null","1078","247","null","null","1009","null","191","null","1050","null","219","null",
"0500000US06111","Ventura County, California","270046","1040","null","null","8483","null","622","null","8145","null","586","null","8504","566","null","null","9319","528","null","null","9363","633","null","null","9319","null","627","null","8212","null","484","null","9889","686","null","null","8876","677","null","null","18298","null","932","null","25922","null","1002","null","37010","null","1141","null","29999","1000","null","null","21586","798","null","null","25670","null","1146","null","31451","null","1035","null",
"0500000US06113","Yolo County, California","72845","576","null","null","5783","null","407","null","4146","null","424","null","3557","409","null","null","3296","409","null","null","2732","391","null","null","2648","null","352","null","2448","null","356","null","2893","397","null","null","2640","378","null","null","5487","null","500","null","6840","null","502","null","8104","null","612","null","6293","448","null","null","4309","451","null","null","5627","null","356","null","6042","null","441","null",
"0500000US06115","Yuba County, California","25880","472","null","null","1338","null","234","null","2004","null","307","null","1342","251","null","null","1668","254","null","null","1314","235","null","null","1245","null","224","null","1329","null","247","null","1082","252","null","null","1213","244","null","null","2316","null","355","null","2883","null","382","null","3243","null","415","null","2181","331","null","null","1049","186","null","null","1122","null","226","null","551","null","147","null",
