"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1400000US06013338301","Census Tract 3383.01, Contra Costa County, California","1086","null","49","null","54","null","34","null","21","null","24","null","20","null","22","null","44","null","29","null","10","null","16","null","83","null","65","null","21","null","22","null","7","null","11","null","51","48","null","null","20","22","null","null","34","null","28","null","89","47","null","null","49","null","34","null","129","49","null","null","146","null","50","null","308","null","72","null",
"1400000US06013338302","Census Tract 3383.02, Contra Costa County, California","2159","null","59","null","83","null","52","null","0","null","17","null","16","null","25","null","79","null","52","null","0","null","17","null","28","null","42","null","107","null","91","null","13","null","20","null","54","73","null","null","102","74","null","null","107","null","65","null","164","75","null","null","189","null","115","null","146","77","null","null","413","null","129","null","658","null","132","null",
"1400000US06013339001","Census Tract 3390.01, Contra Costa County, California","1819","null","108","null","82","null","56","null","66","null","55","null","0","null","12","null","49","null","39","null","96","null","65","null","167","null","86","null","115","null","92","null","63","null","49","null","55","53","null","null","93","55","null","null","136","null","72","null","419","134","null","null","176","null","82","null","107","71","null","null","156","null","69","null","39","null","29","null",
"1400000US06013339002","Census Tract 3390.02, Contra Costa County, California","3479","null","140","null","176","null","104","null","116","null","98","null","195","null","123","null","127","null","85","null","237","null","128","null","197","null","111","null","36","null","39","null","49","null","63","null","266","147","null","null","308","113","null","null","297","null","129","null","522","215","null","null","279","null","127","null","104","52","null","null","175","null","87","null","395","null","152","null",
"1400000US06013340001","Census Tract 3400.01, Contra Costa County, California","2375","null","145","null","129","null","109","null","15","null","25","null","59","null","64","null","90","null","62","null","0","null","17","null","211","null","139","null","58","null","61","null","107","null","87","null","49","47","null","null","203","108","null","null","125","null","78","null","348","150","null","null","245","null","106","null","131","90","null","null","267","null","116","null","338","null","122","null",
"1400000US06013340002","Census Tract 3400.02, Contra Costa County, California","2904","null","118","null","48","null","41","null","75","null","83","null","74","null","74","null","75","null","67","null","105","null","79","null","27","null","31","null","85","null","90","null","79","null","71","null","58","42","null","null","137","63","null","null","192","null","99","null","235","85","null","null","370","null","122","null","248","94","null","null","403","null","128","null","693","null","196","null",
"1400000US06013341000","Census Tract 3410, Contra Costa County, California","1997","null","133","null","14","null","23","null","15","null","26","null","17","null","27","null","76","null","77","null","59","null","49","null","119","null","92","null","90","null","80","null","0","null","17","null","116","71","null","null","123","89","null","null","92","null","58","null","242","107","null","null","239","null","98","null","276","125","null","null","215","null","94","null","304","null","114","null",
"1400000US06013343001","Census Tract 3430.01, Contra Costa County, California","2051","null","137","null","124","null","88","null","75","null","77","null","16","null","25","null","103","null","86","null","15","null","23","null","57","null","62","null","109","null","59","null","20","null","38","null","49","45","null","null","133","67","null","null","240","null","114","null","153","72","null","null","307","null","110","null","235","112","null","null","156","null","70","null","259","null","90","null",
"1400000US06013343002","Census Tract 3430.02, Contra Costa County, California","1957","null","117","null","41","null","39","null","106","null","84","null","109","null","85","null","0","null","12","null","0","null","12","null","20","null","26","null","48","null","45","null","64","null","52","null","26","30","null","null","115","80","null","null","135","null","103","null","355","128","null","null","119","null","59","null","88","59","null","null","371","null","107","null","360","null","118","null",
"1400000US06013343003","Census Tract 3430.03, Contra Costa County, California","1445","null","71","null","14","null","21","null","8","null","13","null","46","null","43","null","39","null","47","null","9","null","14","null","45","null","33","null","18","null","15","null","28","null","32","null","0","12","null","null","74","52","null","null","39","null","31","null","184","92","null","null","194","null","72","null","146","66","null","null","173","null","70","null","428","null","80","null",
"1400000US06013345101","Census Tract 3451.01, Contra Costa County, California","1908","null","93","null","24","null","38","null","0","null","17","null","23","null","38","null","0","null","17","null","0","null","17","null","78","null","62","null","66","null","50","null","35","null","41","null","56","53","null","null","135","84","null","null","85","null","81","null","301","141","null","null","316","null","122","null","260","106","null","null","263","null","102","null","266","null","94","null",
"1400000US06013345102","Census Tract 3451.02, Contra Costa County, California","1248","null","32","null","0","null","12","null","19","null","19","null","31","null","37","null","59","null","49","null","6","null","11","null","47","null","31","null","15","null","16","null","21","null","18","null","35","26","null","null","56","33","null","null","28","null","28","null","133","51","null","null","167","null","61","null","211","73","null","null","238","null","76","null","182","null","70","null",
