"GEO_ID","NAME","P004001","P004002","P004003","P004004","P004005","P004006","P004007","P004008","P004009","P004010","P004011","P004012","P004013","P004014","P004015","P004016","P004017","P004018","P004019","P004020","P004021","P004022","P004023","P004024","P004025","P004026","P004027","P004028","P004029","P004030","P004031","P004032","P004033","P004034","P004035","P004036","P004037","P004038","P004039","P004040","P004041","P004042","P004043","P004044","P004045","P004046","P004047","P004048","P004049","P004050","P004051","P004052","P004053","P004054","P004055","P004056","P004057","P004058","P004059","P004060","P004061","P004062","P004063","P004064","P004065","P004066","P004067","P004068","P004069","P004070","P004071","P004072","P004073",
"1400000US06037461200","Census Tract 4612, Los Angeles County, California","4398","451","3947","3783","3092","431","15","226","4","15","164","150","25","17","58","1","36","2","6","0","3","0","0","0","2","0","0","14","7","5","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037461300","Census Tract 4613, Los Angeles County, California","6569","872","5697","5141","4166","458","19","444","25","29","556","538","31","23","49","7","385","11","4","0","4","1","0","0","2","17","4","18","10","2","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037461400","Census Tract 4614, Los Angeles County, California","3158","627","2531","2312","1743","339","7","209","12","2","219","214","13","11","33","7","139","3","3","0","2","0","0","0","0","3","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037461500","Census Tract 4615, Los Angeles County, California","10691","5605","5086","4835","1675","2723","38","382","4","13","251","214","61","18","21","0","35","27","17","1","10","2","0","0","11","10","1","36","20","5","0","2","1","0","0","1","0","0","0","0","1","3","0","0","3","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037461600","Census Tract 4616, Los Angeles County, California","5858","3193","2665","2549","408","1808","6","316","2","9","116","112","30","4","13","1","5","20","6","1","23","2","0","0","1","6","0","4","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037461700","Census Tract 4617, Los Angeles County, California","1449","159","1290","1245","832","335","2","70","1","5","45","42","16","3","9","0","3","7","0","1","1","0","0","1","0","1","0","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037461900","Census Tract 4619, Los Angeles County, California","6623","4298","2325","2201","965","849","15","363","4","5","124","110","17","10","20","5","29","11","6","0","0","2","0","0","2","8","0","14","6","0","1","1","0","0","0","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037462000","Census Tract 4620, Los Angeles County, California","9001","6131","2870","2743","405","2138","12","183","1","4","127","113","32","9","3","0","9","20","3","1","26","0","0","2","3","4","1","13","6","0","0","1","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037462100","Census Tract 4621, Los Angeles County, California","5741","3492","2249","2128","861","1031","24","202","4","6","121","107","30","6","14","0","19","10","3","4","13","3","0","1","0","4","0","13","9","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037462200","Census Tract 4622, Los Angeles County, California","5297","1751","3546","3389","1713","926","19","703","8","20","157","148","30","10","22","1","32","7","5","0","29","0","1","3","4","4","0","7","4","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US06037462300","Census Tract 4623, Los Angeles County, California","7657","3309","4348","4116","1907","1281","30","862","6","30","232","208","22","17","32","5","64","9","12","0","13","4","0","0","7","23","0","24","10","3","0","0","1","1","0","6","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
