"GEO_ID","NAME","P002001","P002001ERR","P002002","P002003","P002004","P002005","P002006","P002007","P002008","P002009","P002010","P002011","P002012","P002013","P002014","P002015","P002016","P002017","P002018","P002019","P002020","P002021","P002022","P002023","P002024","P002025","P002026","P002027","P002028","P002029","P002030","P002031","P002032","P002033","P002034","P002035","P002036","P002037","P002038","P002039","P002040","P002041","P002042","P002043","P002044","P002045","P002046","P002047","P002048","P002049","P002050","P002051","P002052","P002053","P002054","P002055","P002056","P002057","P002058","P002059","P002060","P002061","P002062","P002063","P002064","P002065","P002066","P002067","P002068","P002069","P002070","P002071","P002072","P002073",
"1400000US06087101100","Census Tract 1011, Santa Cruz County, California","5444","null","659","4785","4589","4221","109","21","200","8","30","196","183","35","38","83","8","6","2","5","0","1","0","0","0","2","3","0","13","10","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087101200","Census Tract 1012, Santa Cruz County, California","3132","null","412","2720","2630","2406","45","13","154","7","5","90","88","9","16","55","1","0","0","4","0","0","0","0","0","3","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087110100","Census Tract 1101, Santa Cruz County, California","7466","null","5586","1880","1799","1486","22","30","253","2","6","81","71","4","23","27","2","2","1","5","0","0","4","0","1","2","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087110200","Census Tract 1102, Santa Cruz County, California","7399","null","5603","1796","1696","1340","17","28","276","8","27","100","84","4","24","28","7","7","0","0","0","0","1","1","0","5","7","0","15","7","0","0","0","4","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087110300","Census Tract 1103, Santa Cruz County, California","6710","null","6176","534","500","352","14","21","80","7","26","34","29","4","15","3","2","2","0","0","0","0","1","0","0","0","2","0","5","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087110400","Census Tract 1104, Santa Cruz County, California","7976","null","6556","1420","1360","936","45","12","358","1","8","60","54","8","18","19","0","3","2","0","0","0","4","0","0","0","0","0","6","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087110501","Census Tract 1105.01, Santa Cruz County, California","7646","null","5978","1668","1566","1320","41","27","170","0","8","102","88","30","12","28","4","4","1","1","1","0","2","0","0","3","2","0","14","3","0","0","0","4","0","0","2","2","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087110502","Census Tract 1105.02, Santa Cruz County, California","6088","null","5185","903","866","713","10","7","117","3","16","37","36","2","16","12","0","1","0","1","0","0","0","1","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087110600","Census Tract 1106, Santa Cruz County, California","8349","null","6957","1392","1308","932","44","17","309","1","5","84","78","21","18","22","0","3","2","0","2","1","0","0","0","6","3","0","5","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087110700","Census Tract 1107, Santa Cruz County, California","3357","null","2392","965","919","779","28","15","97","0","0","46","42","3","10","16","2","4","1","1","0","0","1","0","0","4","0","0","3","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087120200","Census Tract 1202, Santa Cruz County, California","4283","null","599","3684","3557","3422","29","21","76","4","5","127","120","11","46","51","6","4","0","0","0","0","0","0","1","1","0","0","5","0","0","1","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087120301","Census Tract 1203.01, Santa Cruz County, California","5180","null","391","4789","4643","4472","32","28","70","14","27","146","128","18","55","38","6","4","0","0","0","1","3","0","0","3","0","0","18","4","0","0","0","2","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087120302","Census Tract 1203.02, Santa Cruz County, California","2602","null","228","2374","2293","2228","9","22","22","4","8","81","74","7","33","21","9","3","0","0","0","0","1","0","0","0","0","0","7","2","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087120400","Census Tract 1204, Santa Cruz County, California","4993","null","415","4578","4407","4232","51","20","77","9","18","171","146","24","48","52","13","6","0","0","0","0","1","0","0","2","0","0","25","10","0","1","0","5","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087120500","Census Tract 1205, Santa Cruz County, California","5687","null","390","5297","5130","4920","20","19","152","8","11","167","153","13","49","71","6","8","1","2","0","0","0","0","0","1","2","0","14","2","4","0","0","2","2","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087120600","Census Tract 1206, Santa Cruz County, California","4733","null","414","4319","4194","4061","39","24","56","5","9","125","115","18","43","36","5","4","0","2","0","0","1","0","0","2","4","0","10","5","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087120700","Census Tract 1207, Santa Cruz County, California","4120","null","275","3845","3729","3613","21","13","73","6","3","116","101","6","41","47","2","2","0","0","0","0","0","0","2","0","1","0","15","7","0","0","0","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087120800","Census Tract 1208, Santa Cruz County, California","5863","null","429","5434","5265","4996","20","17","219","4","9","169","161","15","25","106","7","0","0","2","0","0","0","1","0","5","0","0","8","1","2","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087120900","Census Tract 1209, Santa Cruz County, California","8360","null","940","7420","7095","6531","80","28","434","4","18","325","288","35","72","136","12","18","2","4","0","0","2","0","0","2","5","0","34","13","2","0","0","2","2","0","13","2","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06087121000","Census Tract 1210, Santa Cruz County, California","3423","null","208","3215","3130","3020","8","18","69","4","11","85","77","4","33","33","5","1","0","0","0","0","0","0","0","0","1","0","7","5","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
