"GEO_ID","NAME","P052001","P052002","P052003","P052004","P052005","P052006","P052007","P052008","P052009","P052010","P052011","P052012","P052013","P052014","P052015","P052016","P052017",
"1500000US060014040002","Block Group 2, Census Tract 4040, Alameda County, California","523","24","43","23","36","33","34","57","32","11","35","72","34","47","17","25","0",
"1500000US060014041001","Block Group 1, Census Tract 4041, Alameda County, California","712","47","34","62","40","47","49","13","49","32","45","78","108","34","50","8","16",
"1500000US060014041002","Block Group 2, Census Tract 4041, Alameda County, California","1002","76","41","44","33","100","100","61","64","49","88","114","104","72","5","35","16",
"1500000US060014041003","Block Group 3, Census Tract 4041, Alameda County, California","1652","234","97","123","77","98","138","69","97","49","185","168","180","65","23","27","22",
"1500000US060014042001","Block Group 1, Census Tract 4042, Alameda County, California","404","11","11","5","0","13","14","6","12","14","7","34","76","62","12","66","61",
"1500000US060014042002","Block Group 2, Census Tract 4042, Alameda County, California","493","6","23","9","0","11","12","21","9","24","36","45","54","44","57","54","88",
"1500000US060014042003","Block Group 3, Census Tract 4042, Alameda County, California","453","14","0","5","15","11","4","11","19","23","30","65","71","65","37","44","39",
"1500000US060014043001","Block Group 1, Census Tract 4043, Alameda County, California","400","8","16","8","0","0","13","12","22","11","2","41","54","64","54","16","79",
"1500000US060014043002","Block Group 2, Census Tract 4043, Alameda County, California","338","0","0","0","12","5","0","7","15","0","25","29","43","37","35","29","101",
"1500000US060014043003","Block Group 3, Census Tract 4043, Alameda County, California","575","40","5","31","0","26","21","22","24","37","16","67","36","70","52","55","73",
"1500000US060014044001","Block Group 1, Census Tract 4044, Alameda County, California","1022","13","21","20","0","7","38","41","8","58","128","84","114","115","109","55","211",
"1500000US060014044002","Block Group 2, Census Tract 4044, Alameda County, California","502","13","6","0","8","8","25","0","8","22","17","37","105","75","71","59","48",
"1500000US060014044003","Block Group 3, Census Tract 4044, Alameda County, California","581","0","16","0","8","0","9","14","16","15","28","51","88","87","61","91","97",
"1500000US060014045011","Block Group 1, Census Tract 4045.01, Alameda County, California","655","7","5","11","30","17","5","6","0","31","27","68","56","108","49","98","137",
"1500000US060014045021","Block Group 1, Census Tract 4045.02, Alameda County, California","384","0","0","10","7","0","25","27","0","0","18","30","57","31","85","56","38",
