bgp2000gj,bg2010gj,bg2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G06000109020006000421200U3,G06000104212003,060014212003,0.1434370516,0.1572258146,0.1510998693,0.1485352462
G06000109020006000421200U3,G06000104214001,060014214001,0.0003241264,0.0003006333,0.0002990257,0.0003018092
G06000109020006000421200U4,G06000104212004,060014212004,1.0,1.0,1.0,1.0
G06000109020006000421200U5,G06000104212003,060014212003,1.0,1.0,1.0,1.0
G06000109020006000421300U1,G06000104213001,060014213001,1.0,1.0,1.0,1.0
G06000109020006000421300U2,G06000104213002,060014213002,1.0,1.0,1.0,1.0
G06000109020006000421300U3,G06000104213003,060014213003,1.0,1.0,1.0,1.0
G06000109020006000421300U4,G06000104213004,060014213004,1.0,1.0,1.0,1.0
G06000109020006000421400U1,G06000104214001,060014214001,1.0,1.0,1.0,1.0
G06000109020006000421400U2,G06000104214001,060014214001,0.0329041488,0.0317460317,0.0272108844,0.0303030303
G06000109020006000421400U2,G06000104214002,060014214002,0.9670958512,0.9682539683,0.9727891156,0.9696969697
G06000109020006000421500U1,G06000104215001,060014215001,1.0,1.0,1.0,1.0
G06000109020006000421500U2,G06000104215002,060014215002,1.0,1.0,1.0,1.0
G06000109020006000421500U3,G06000104215003,060014215003,1.0,1.0,1.0,1.0
G06000109020006000421600U1,G06000104216001,060014216001,1.0,1.0,1.0,1.0
G06000109020006000421600U1,G06001303540011,060133540011,0.0,0.0,0.0,0.0
G06000109020006000421600U2,G06000104216002,060014216002,1.0,1.0,1.0,1.0
G06000109020006000421600U3,G06000104216003,060014216003,1.0,1.0,1.0,1.0
G06000109020006000421600U4,G06000104216004,060014216004,1.0,1.0,1.0,1.0
G06000109020006000421700U1,G06000104217001,060014217001,1.0,1.0,1.0,1.0
G06000109020006000421700U2,G06000104217001,060014217001,0.0012778707,0.0005345089,0.0015811934,0.0018402985
G06000109020006000421700U2,G06000104217002,060014217002,0.9987221293,0.9994654911,0.9984188066,0.9981597015
