bg2010gj,bg2010ge,bg2020gj,bg2020ge,wt_pop,wt_adult,wt_hh,wt_fam,wt_hu,parea
G06008300025023,060830025023,G06008300025031,060830025031,1,1,1,1,1,0.996678560489
G06008300025023,060830025023,G06008309805001,060839805001,0,0,0,0,0,0.003321439511
G06008300025024,060830025024,G06008300025041,060830025041,0.394344069128,0.361042183623,0.387005649718,0.402826855124,0.397905759162,0.593591161144
G06008300025024,060830025024,G06008300025043,060830025043,0.605655930872,0.638957816377,0.612994350282,0.597173144876,0.602094240838,0.406408838856
G06008300026041,060830026041,G06008309804001,060839804001,1,1,1,1,1,0.998111191805
G06008300026041,060830026041,G06008300031021,060830031021,0,0,0,0,0,0.001888808195
G06008300026061,060830026061,G06008300025031,060830025031,0,0,0,0,0,0.0035692755
G06008300026061,060830026061,G06008309805001,060839805001,0,0,0,0,0,0.390472066351
G06008300026061,060830026061,G06008309802001,060839802001,0.998205741627,0.999025815879,0.998835855646,0.998778998779,0.999034749035,0.602109781172
G06008300026061,060830026061,G06008300020061,060830020061,0.001794258373,9.74184121e-4,0.001164144354,0.001221001221,9.65250965e-4,2.78473503e-4
G06008300026061,060830026061,G06008300028081,060830028081,0,0,0,0,0,5.738815e-6
G06008300026061,060830026061,G06008309804001,060839804001,0,0,0,0,0,5.80008629e-4
G06008300026061,060830026061,G06008300031021,060830031021,0,0,0,0,0,0.00298465603
G06008300027021,060830027021,G06008300027101,060830027101,1,1,1,1,1,1
G06008300027022,060830027022,G06008300027102,060830027102,1,1,1,1,1,1
G06008300027023,060830027023,G06008300027103,060830027103,1,1,1,1,1,1
G06008300027024,060830027024,G06008300027091,060830027091,1,1,1,1,1,1
G06008300027025,060830027025,G06008300027092,060830027092,1,1,1,1,1,0.990166112033
G06008300027025,060830027025,G06008300027091,060830027091,0,0,0,0,0,0.009833887967
G06008300027031,060830027031,G06008300027031,060830027031,1,1,1,1,1,1
G06008300027032,060830027032,G06008300027032,060830027032,1,1,1,1,1,1
G06008300027051,060830027051,G06008300027051,060830027051,1,1,1,1,1,1
G06008300027052,060830027052,G06008300027052,060830027052,1,1,1,1,1,1
G06008300027053,060830027053,G06008300027053,060830027053,1,1,1,1,1,1
G06008300027061,060830027061,G06008300027061,060830027061,1,1,1,1,1,1
G06008300027062,060830027062,G06008300027062,060830027062,1,1,1,1,1,1
G06008300027063,060830027063,G06008300027063,060830027063,1,1,1,1,1,1
G06008300027064,060830027064,G06008300027064,060830027064,1,1,1,1,1,1
G06008300027065,060830027065,G06008300027065,060830027065,1,1,1,1,1,1
G06008300027071,060830027071,G06008300027071,060830027071,1,1,1,1,1,0.999877713813
G06008300027071,060830027071,G06008300031022,060830031022,0,0,0,0,0,1.22286187e-4
G06008300027072,060830027072,G06008300027072,060830027072,1,1,1,1,1,1
G06008300027073,060830027073,G06008300027073,060830027073,1,1,1,1,1,1
G06008300027081,060830027081,G06008300027081,060830027081,1,1,1,1,1,1
G06008300027082,060830027082,G06008300027082,060830027082,1,1,1,1,1,1
G06008300027083,060830027083,G06008300027083,060830027083,1,1,1,1,1,1
G06008300028021,060830028021,G06008300028021,060830028021,1,1,1,1,1,1
G06008300028022,060830028022,G06008300028022,060830028022,1,1,1,1,1,0.983609578154
G06008300028022,060830028022,G06008300028094,060830028094,0,0,0,0,0,0.016390421846
G06008300028023,060830028023,G06008300028023,060830028023,1,1,1,1,1,1
G06008300028024,060830028024,G06008300028024,060830028024,1,1,1,1,1,1
G06008300028061,060830028061,G06008300028061,060830028061,1,1,1,1,1,1
G06008300028062,060830028062,G06008300027051,060830027051,0,0,0,0,0,3.08555302e-4
G06008300028062,060830028062,G06008300028062,060830028062,1,1,1,1,1,0.999691444698
G06008300028081,060830028081,G06008300028081,060830028081,1,1,1,1,1,1
G06008300028082,060830028082,G06008300028085,060830028085,0.983011778126,0.982281258337,0.983152051196,0.97551291913,0.984836846077,0.747065158639
G06008300028082,060830028082,G06008300028081,060830028081,0.011252084207,0.013224359641,0.01257444453,0.018275900746,0.011317000077,0.005233585396
G06008300028082,060830028082,G06008300028082,060830028082,0.005736137667,0.004494382022,0.004273504274,0.006211180124,0.003846153846,0.246581677138
G06008300028082,060830028082,G06008309804001,060839804001,0,0,0,0,0,0.001119578828
G06008300028083,060830028083,G06008300028085,060830028085,1,1,1,1,1,1
G06008300028084,060830028084,G06008300028082,060830028082,1,1,1,1,1,1
G06008300028085,060830028085,G06008300028083,060830028083,1,1,1,1,1,1
G06008300028086,060830028086,G06008300028084,060830028084,1,1,1,1,1,1
G06008300028091,060830028091,G06008300028091,060830028091,1,1,1,1,1,1
G06008300028092,060830028092,G06008300028092,060830028092,1,1,1,1,1,1
G06008300028093,060830028093,G06008300028093,060830028093,1,1,1,1,1,1
G06008300028094,060830028094,G06008300028094,060830028094,1,1,1,1,1,1
G06008300029061,060830029061,G06008300029061,060830029061,1,1,1,1,1,1
G06008300029062,060830029062,G06008300029062,060830029062,1,1,1,1,1,1
G06008300029063,060830029063,G06008300029062,060830029062,0.157832042883,0.15903975994,0.139693356048,0.139186295503,0.143333333333,0.225286691874
G06008300029063,060830029063,G06008300029061,060830029061,0.050283223297,0.049084611578,0.051237812172,0.045195680897,0.051886524823,0.039482582841
G06008300029063,060830029063,G06008300029063,060830029063,0.791884733821,0.791875628482,0.809068831781,0.8156180236,0.804780141844,0.735230725285
G06008300029071,060830029071,G06008300029071,060830029071,1,1,1,1,1,1
G06008300029072,060830029072,G06008300029072,060830029072,1,1,1,1,1,1
G06008300029073,060830029073,G06008300029073,060830029073,1,1,1,1,1,1
G06008300029091,060830029091,G06008300029091,060830029091,1,1,1,1,1,1
G06008300029092,060830029092,G06008300029091,060830029091,0.05331264057,0.055072211087,0.056366471438,0.055135294948,0.056301618495,0.049606356666
G06008300029092,060830029092,G06008300029092,060830029092,0.94668735943,0.944927788913,0.943633528562,0.944864705052,0.943698381505,0.950393643334
G06008300029093,060830029093,G06008300029091,060830029091,0,0,0,0,0,0.110543006006
G06008300029093,060830029093,G06008300029093,060830029093,1,1,1,1,1,0.889456993994
G06008300029131,060830029131,G06008300029131,060830029131,1,1,1,1,1,1
G06008300029132,060830029132,G06008300029131,060830029131,0.126490409539,0.11625,0.081433224756,0.141280353201,0.083507306889,0.0794459596
G06008300029132,060830029132,G06008300029132,060830029132,0.873509590461,0.88375,0.918566775244,0.858719646799,0.916492693111,0.9205540404
G06008300029141,060830029141,G06008300029141,060830029141,1,1,1,1,1,1
G06008300029142,060830029142,G06008300029142,060830029142,1,1,1,1,1,0.978786188289
G06008300029142,060830029142,G06008300029062,060830029062,0,0,0,0,0,0.021213811711
G06008300029143,060830029143,G06008300029143,060830029143,1,1,1,1,1,1
G06008300029151,060830029151,G06008300029372,060830029372,0.998170316153,0.998029004864,0.998015887709,0.998356401707,0.998027225493,0.998334715417
G06008300029151,060830029151,G06008300029351,060830029351,0.001829683847,0.001970995136,0.001984112291,0.001643598293,0.001972774507,0.001665284583
G06008300029151,060830029151,G06008300029371,060830029371,0,0,0,0,0,0
G06008300029221,060830029221,G06008309803001,060839803001,1,1,1,1,1,0.986737652798
G06008300029221,060830029221,G06008300029243,060830029243,0,0,0,0,0,0.004953146367
