"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"1400000US06001428100","Census Tract 4281, Alameda County, California","84342","13671","null","null",
"1400000US06001428200","Census Tract 4282, Alameda County, California","90996","10531","null","null",
"1400000US06001428301","Census Tract 4283.01, Alameda County, California","93000","13073","null","null",
"1400000US06001428302","Census Tract 4283.02, Alameda County, California","132354","10997","null","null",
"1400000US06001428400","Census Tract 4284, Alameda County, California","54455","6414","null","null",
"1400000US06001428500","Census Tract 4285, Alameda County, California","64784","13663","null","null",
"1400000US06001428600","Census Tract 4286, Alameda County, California","75039","6853","null","null",
"1400000US06001428700","Census Tract 4287, Alameda County, California","67321","26180","null","null",
"1400000US06001430101","Census Tract 4301.01, Alameda County, California","126532","20598","null","null",
"1400000US06001430102","Census Tract 4301.02, Alameda County, California","127344","52631","null","null",
"1400000US06001430200","Census Tract 4302, Alameda County, California","100577","8654","null","null",
"1400000US06001430300","Census Tract 4303, Alameda County, California","100156","26244","null","null",
"1400000US06001430400","Census Tract 4304, Alameda County, California","113333","14765","null","null",
"1400000US06001430500","Census Tract 4305, Alameda County, California","65750","10347","null","null",
"1400000US06001430600","Census Tract 4306, Alameda County, California","86250","14547","null","null",
"1400000US06001430700","Census Tract 4307, Alameda County, California","101090","8843","null","null",
"1400000US06001430800","Census Tract 4308, Alameda County, California","78015","7222","null","null",
"1400000US06001430900","Census Tract 4309, Alameda County, California","51650","12165","null","null",
"1400000US06001431000","Census Tract 4310, Alameda County, California","56181","15687","null","null",
"1400000US06001431100","Census Tract 4311, Alameda County, California","54926","8797","null","null",
"1400000US06001431200","Census Tract 4312, Alameda County, California","46744","9125","null","null",
"1400000US06001432100","Census Tract 4321, Alameda County, California","93220","14630","null","null",
"1400000US06001432200","Census Tract 4322, Alameda County, California","57400","16534","null","null",
"1400000US06001432300","Census Tract 4323, Alameda County, California","73906","21388","null","null",
"1400000US06001432400","Census Tract 4324, Alameda County, California","58807","9935","null","null",
"1400000US06001432501","Census Tract 4325.01, Alameda County, California","54113","7977","null","null",
"1400000US06001432502","Census Tract 4325.02, Alameda County, California","72045","16075","null","null",
"1400000US06001432600","Census Tract 4326, Alameda County, California","43916","5903","null","null",
"1400000US06001432700","Census Tract 4327, Alameda County, California","81613","18472","null","null",
"1400000US06001432800","Census Tract 4328, Alameda County, California","92550","22736","null","null",
"1400000US06001433000","Census Tract 4330, Alameda County, California","71271","9146","null","null",
"1400000US06001433102","Census Tract 4331.02, Alameda County, California","70000","16616","null","null",
"1400000US06001433103","Census Tract 4331.03, Alameda County, California","43078","4878","null","null",
"1400000US06001433104","Census Tract 4331.04, Alameda County, California","54772","8632","null","null",
"1400000US06001433200","Census Tract 4332, Alameda County, California","56517","7822","null","null",
"1400000US06001433300","Census Tract 4333, Alameda County, California","67017","13920","null","null",
"1400000US06001433400","Census Tract 4334, Alameda County, California","76473","12640","null","null",
"1400000US06001433500","Census Tract 4335, Alameda County, California","70625","16484","null","null",
"1400000US06001433600","Census Tract 4336, Alameda County, California","53937","9833","null","null",
"1400000US06001433700","Census Tract 4337, Alameda County, California","58351","8052","null","null",
"1400000US06001433800","Census Tract 4338, Alameda County, California","52330","6665","null","null",
"1400000US06001433900","Census Tract 4339, Alameda County, California","44106","4843","null","null",
"1400000US06001434000","Census Tract 4340, Alameda County, California","39567","8736","null","null",
