"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"1400000US06001410000","Census Tract 4100, Alameda County, California","107596","null","12098","null",
"1400000US06001410100","Census Tract 4101, Alameda County, California","50000","null","12843","null",
"1400000US06001410200","Census Tract 4102, Alameda County, California","45859","null","11835","null",
"1400000US06001410300","Census Tract 4103, Alameda County, California","35960","null","4660","null",
"1400000US06001410400","Census Tract 4104, Alameda County, California","62963","null","7307","null",
"1400000US06001410500","Census Tract 4105, Alameda County, California","22869","null","3883","null",
"1400000US06001420100","Census Tract 4201, Alameda County, California","117083","null","17455","null",
"1400000US06001420200","Census Tract 4202, Alameda County, California","82206","null","21462","null",
"1400000US06001420300","Census Tract 4203, Alameda County, California","85119","null","6034","null",
"1400000US06001420400","Census Tract 4204, Alameda County, California","38689","null","6590","null",
"1400000US06001420500","Census Tract 4205, Alameda County, California","80404","null","8000","null",
"1400000US06001420600","Census Tract 4206, Alameda County, California","107875","null","15607","null",
"1400000US06001421100","Census Tract 4211, Alameda County, California","148750","null","26015","null",
"1400000US06001421200","Census Tract 4212, Alameda County, California","150673","null","18905","null",
"1400000US06001421300","Census Tract 4213, Alameda County, California","135556","null","22684","null",
"1400000US06001421400","Census Tract 4214, Alameda County, California","132250","null","19130","null",
"1400000US06001421500","Census Tract 4215, Alameda County, California","138929","null","21840","null",
"1400000US06001421600","Census Tract 4216, Alameda County, California","118587","null","19980","null",
"1400000US06001421700","Census Tract 4217, Alameda County, California","68190","null","9226","null",
"1400000US06001421800","Census Tract 4218, Alameda County, California","99821","null","14631","null",
"1400000US06001421900","Census Tract 4219, Alameda County, California","91346","null","18434","null",
"1400000US06001422000","Census Tract 4220, Alameda County, California","60288","null","20591","null",
"1400000US06001422100","Census Tract 4221, Alameda County, California","57865","null","9479","null",
"1400000US06001422200","Census Tract 4222, Alameda County, California","65533","null","10027","null",
"1400000US06001422300","Census Tract 4223, Alameda County, California","57667","null","11171","null",
"1400000US06001422400","Census Tract 4224, Alameda County, California","54554","null","16048","null",
"1400000US06001422500","Census Tract 4225, Alameda County, California","54063","null","12777","null",
"1400000US06001422600","Census Tract 4226, Alameda County, California","250,000+","250,000+","***","***",
"1400000US06001422700","Census Tract 4227, Alameda County, California","27090","null","5500","null",
"1400000US06001422800","Census Tract 4228, Alameda County, California","14196","null","9919","null",
"1400000US06001422900","Census Tract 4229, Alameda County, California","24702","null","11933","null",
"1400000US06001423000","Census Tract 4230, Alameda County, California","74167","null","25948","null",
"1400000US06001423100","Census Tract 4231, Alameda County, California","56111","null","8934","null",
"1400000US06001423200","Census Tract 4232, Alameda County, California","53804","null","29058","null",
"1400000US06001423300","Census Tract 4233, Alameda County, California","72500","null","14324","null",
"1400000US06001423400","Census Tract 4234, Alameda County, California","71506","null","18487","null",
"1400000US06001423500","Census Tract 4235, Alameda County, California","42813","null","12182","null",
"1400000US06001423601","Census Tract 4236.01, Alameda County, California","69398","null","8742","null",
"1400000US06001423602","Census Tract 4236.02, Alameda County, California","25164","null","6887","null",
"1400000US06001423700","Census Tract 4237, Alameda County, California","54487","null","20126","null",
"1400000US06001423800","Census Tract 4238, Alameda County, California","135278","null","29621","null",
"1400000US06001423901","Census Tract 4239.01, Alameda County, California","61543","null","10355","null",
"1400000US06001423902","Census Tract 4239.02, Alameda County, California","85167","null","24533","null",
"1400000US06001424001","Census Tract 4240.01, Alameda County, California","46359","null","9985","null",
"1400000US06001424002","Census Tract 4240.02, Alameda County, California","41895","null","16225","null",
"1400000US06001425101","Census Tract 4251.01, Alameda County, California","73646","null","15885","null",
"1400000US06001425102","Census Tract 4251.02, Alameda County, California","81577","null","22326","null",
"1400000US06001425103","Census Tract 4251.03, Alameda County, California","95146","null","8373","null",
"1400000US06001425104","Census Tract 4251.04, Alameda County, California","56654","null","14457","null",
"1400000US06001426100","Census Tract 4261, Alameda County, California","216771","null","46407","null",
"1400000US06001426200","Census Tract 4262, Alameda County, California","181012","null","26019","null",
"1400000US06001427100","Census Tract 4271, Alameda County, California","103750","null","15509","null",
"1400000US06001427200","Census Tract 4272, Alameda County, California","65096","null","20483","null",
"1400000US06001427300","Census Tract 4273, Alameda County, California","74773","null","17071","null",
