"GEO_ID","NAME","B19013_001M","B19013_001MA","B19013_001E","B19013_001EA",
"1400000US06001425104","Census Tract 4251.04, Alameda County, California","9746","null","49435","null",
"1400000US06001426100","Census Tract 4261, Alameda County, California","49519","null","184010","null",
"1400000US06001426200","Census Tract 4262, Alameda County, California","14294","null","168234","null",
"1400000US06001427100","Census Tract 4271, Alameda County, California","10165","null","107237","null",
"1400000US06001427200","Census Tract 4272, Alameda County, California","15699","null","63344","null",
"1400000US06001427300","Census Tract 4273, Alameda County, California","15644","null","60655","null",
"1400000US06001427600","Census Tract 4276, Alameda County, California","8291","null","50337","null",
"1400000US06001427700","Census Tract 4277, Alameda County, California","11632","null","65074","null",
"1400000US06001427800","Census Tract 4278, Alameda County, California","9789","null","80223","null",
"1400000US06001427900","Census Tract 4279, Alameda County, California","13320","null","74453","null",
"1400000US06001428000","Census Tract 4280, Alameda County, California","10972","null","44688","null",
"1400000US06001428100","Census Tract 4281, Alameda County, California","11544","null","79000","null",
"1400000US06001428200","Census Tract 4282, Alameda County, California","9487","null","84350","null",
"1400000US06001428301","Census Tract 4283.01, Alameda County, California","8628","null","92281","null",
"1400000US06001428302","Census Tract 4283.02, Alameda County, California","15730","null","133221","null",
"1400000US06001428400","Census Tract 4284, Alameda County, California","6768","null","55300","null",
"1400000US06001428500","Census Tract 4285, Alameda County, California","11988","null","61318","null",
"1400000US06001428600","Census Tract 4286, Alameda County, California","10160","null","71455","null",
"1400000US06001428700","Census Tract 4287, Alameda County, California","25078","null","68063","null",
"1400000US06001430101","Census Tract 4301.01, Alameda County, California","12756","null","121545","null",
"1400000US06001430102","Census Tract 4301.02, Alameda County, California","28376","null","93984","null",
"1400000US06001430200","Census Tract 4302, Alameda County, California","10051","null","108423","null",
"1400000US06001430300","Census Tract 4303, Alameda County, California","22434","null","104417","null",
"1400000US06001430400","Census Tract 4304, Alameda County, California","15104","null","108636","null",
"1400000US06001430500","Census Tract 4305, Alameda County, California","9138","null","67721","null",
"1400000US06001430600","Census Tract 4306, Alameda County, California","15255","null","84572","null",
"1400000US06001430700","Census Tract 4307, Alameda County, California","17301","null","90382","null",
"1400000US06001430800","Census Tract 4308, Alameda County, California","8816","null","70893","null",
"1400000US06001430900","Census Tract 4309, Alameda County, California","8993","null","53582","null",
"1400000US06001431000","Census Tract 4310, Alameda County, California","13058","null","47344","null",
"1400000US06001431100","Census Tract 4311, Alameda County, California","8566","null","55613","null",
"1400000US06001431200","Census Tract 4312, Alameda County, California","15103","null","55795","null",
"1400000US06001432100","Census Tract 4321, Alameda County, California","15494","null","91585","null",
"1400000US06001432200","Census Tract 4322, Alameda County, California","19864","null","51200","null",
"1400000US06001432300","Census Tract 4323, Alameda County, California","14565","null","75750","null",
"1400000US06001432400","Census Tract 4324, Alameda County, California","8370","null","54932","null",
"1400000US06001432501","Census Tract 4325.01, Alameda County, California","17488","null","53597","null",
"1400000US06001432502","Census Tract 4325.02, Alameda County, California","8231","null","64531","null",
"1400000US06001432600","Census Tract 4326, Alameda County, California","6107","null","45805","null",
"1400000US06001432700","Census Tract 4327, Alameda County, California","15861","null","87868","null",
"1400000US06001432800","Census Tract 4328, Alameda County, California","23703","null","93462","null",
"1400000US06001433000","Census Tract 4330, Alameda County, California","3609","null","68310","null",
"1400000US06001433102","Census Tract 4331.02, Alameda County, California","11971","null","60938","null",
"1400000US06001433103","Census Tract 4331.03, Alameda County, California","12887","null","41103","null",
"1400000US06001433104","Census Tract 4331.04, Alameda County, California","7542","null","58460","null",
"1400000US06001433200","Census Tract 4332, Alameda County, California","6590","null","53351","null",
"1400000US06001433300","Census Tract 4333, Alameda County, California","8172","null","73433","null",
"1400000US06001433400","Census Tract 4334, Alameda County, California","6163","null","80516","null",
"1400000US06001433500","Census Tract 4335, Alameda County, California","9397","null","75404","null",
"1400000US06001433600","Census Tract 4336, Alameda County, California","14430","null","55432","null",
"1400000US06001433700","Census Tract 4337, Alameda County, California","12275","null","56591","null",
"1400000US06001433800","Census Tract 4338, Alameda County, California","12112","null","53919","null",
"1400000US06001433900","Census Tract 4339, Alameda County, California","8716","null","44503","null",
"1400000US06001434000","Census Tract 4340, Alameda County, California","6572","null","38736","null",
"1400000US06001435102","Census Tract 4351.02, Alameda County, California","28831","null","104063","null",
"1400000US06001435103","Census Tract 4351.03, Alameda County, California","8205","null","135129","null",
"1400000US06001435104","Census Tract 4351.04, Alameda County, California","11738","null","53923","null",
"1400000US06001435200","Census Tract 4352, Alameda County, California","16014","null","77969","null",
"1400000US06001435300","Census Tract 4353, Alameda County, California","6745","null","58997","null",
"1400000US06001435400","Census Tract 4354, Alameda County, California","8220","null","43693","null",
"1400000US06001435500","Census Tract 4355, Alameda County, California","3630","null","44831","null",
"1400000US06001435601","Census Tract 4356.01, Alameda County, California","6834","null","47891","null",
"1400000US06001435602","Census Tract 4356.02, Alameda County, California","16577","null","51783","null",
"1400000US06001435700","Census Tract 4357, Alameda County, California","13120","null","71518","null",
"1400000US06001435800","Census Tract 4358, Alameda County, California","4704","null","74444","null",
"1400000US06001435900","Census Tract 4359, Alameda County, California","14123","null","70714","null",
"1400000US06001436000","Census Tract 4360, Alameda County, California","17232","null","70809","null",
"1400000US06001436100","Census Tract 4361, Alameda County, California","14337","null","52966","null",
"1400000US06001436200","Census Tract 4362, Alameda County, California","7259","null","42816","null",
"1400000US06001436300","Census Tract 4363, Alameda County, California","7880","null","54276","null",
"1400000US06001436401","Census Tract 4364.01, Alameda County, California","12345","null","72083","null",
"1400000US06001436402","Census Tract 4364.02, Alameda County, California","21585","null","128063","null",
"1400000US06001436500","Census Tract 4365, Alameda County, California","6839","null","51462","null",
"1400000US06001436601","Census Tract 4366.01, Alameda County, California","8130","null","44789","null",
"1400000US06001436602","Census Tract 4366.02, Alameda County, California","7225","null","50592","null",
"1400000US06001436700","Census Tract 4367, Alameda County, California","12575","null","49113","null",
"1400000US06001436800","Census Tract 4368, Alameda County, California","12020","null","77813","null",
"1400000US06001436900","Census Tract 4369, Alameda County, California","9450","null","49507","null",
"1400000US06001437000","Census Tract 4370, Alameda County, California","12479","null","67137","null",
"1400000US06001437101","Census Tract 4371.01, Alameda County, California","16948","null","95385","null",
"1400000US06001437102","Census Tract 4371.02, Alameda County, California","5719","null","64819","null",
"1400000US06001437200","Census Tract 4372, Alameda County, California","14373","null","57853","null",
"1400000US06001437300","Census Tract 4373, Alameda County, California","11889","null","54583","null",
"1400000US06001437400","Census Tract 4374, Alameda County, California","26434","null","64671","null",
"1400000US06001437500","Census Tract 4375, Alameda County, California","9948","null","53028","null",
"1400000US06001437600","Census Tract 4376, Alameda County, California","15419","null","64081","null",
"1400000US06001437701","Census Tract 4377.01, Alameda County, California","13588","null","47000","null",
"1400000US06001437702","Census Tract 4377.02, Alameda County, California","7075","null","32279","null",
"1400000US06001437800","Census Tract 4378, Alameda County, California","26369","null","86993","null",
"1400000US06001437900","Census Tract 4379, Alameda County, California","6476","null","47670","null",
"1400000US06001438000","Census Tract 4380, Alameda County, California","19859","null","77273","null",
"1400000US06001438100","Census Tract 4381, Alameda County, California","14228","null","92708","null",
"1400000US06001438201","Census Tract 4382.01, Alameda County, California","3579","null","61080","null",
"1400000US06001438203","Census Tract 4382.03, Alameda County, California","10312","null","71699","null",
"1400000US06001438204","Census Tract 4382.04, Alameda County, California","19035","null","62963","null",
"1400000US06001438300","Census Tract 4383, Alameda County, California","18165","null","77098","null",
"1400000US06001438400","Census Tract 4384, Alameda County, California","8163","null","70763","null",
"1400000US06001440100","Census Tract 4401, Alameda County, California","17912","null","61196","null",
"1400000US06001440200","Census Tract 4402, Alameda County, California","9586","null","53295","null",
"1400000US06001440301","Census Tract 4403.01, Alameda County, California","15507","null","78355","null",
"1400000US06001440304","Census Tract 4403.04, Alameda County, California","15589","null","87107","null",
"1400000US06001440305","Census Tract 4403.05, Alameda County, California","19330","null","89630","null",
"1400000US06001440306","Census Tract 4403.06, Alameda County, California","12042","null","85833","null",
"1400000US06001440307","Census Tract 4403.07, Alameda County, California","6636","null","70182","null",
"1400000US06001440308","Census Tract 4403.08, Alameda County, California","10134","null","73445","null",
"1400000US06001440331","Census Tract 4403.31, Alameda County, California","12803","null","81272","null",
"1400000US06001440332","Census Tract 4403.32, Alameda County, California","37644","null","152885","null",
"1400000US06001440333","Census Tract 4403.33, Alameda County, California","14194","null","118382","null",
"1400000US06001440334","Census Tract 4403.34, Alameda County, California","20243","null","81492","null",
"1400000US06001440335","Census Tract 4403.35, Alameda County, California","19230","null","138589","null",
"1400000US06001440336","Census Tract 4403.36, Alameda County, California","16985","null","70982","null",
"1400000US06001441100","Census Tract 4411, Alameda County, California","20652","null","98942","null",
"1400000US06001441200","Census Tract 4412, Alameda County, California","9508","null","81589","null",
"1400000US06001441301","Census Tract 4413.01, Alameda County, California","10299","null","108792","null",
"1400000US06001441302","Census Tract 4413.02, Alameda County, California","11343","null","104875","null",
"1400000US06001441401","Census Tract 4414.01, Alameda County, California","17207","null","74389","null",
"1400000US06001441402","Census Tract 4414.02, Alameda County, California","17701","null","96364","null",
"1400000US06001441501","Census Tract 4415.01, Alameda County, California","14760","null","121375","null",
"1400000US06001441503","Census Tract 4415.03, Alameda County, California","16244","null","130426","null",
"1400000US06001441521","Census Tract 4415.21, Alameda County, California","4087","null","121405","null",
"1400000US06001441522","Census Tract 4415.22, Alameda County, California","24495","null","91750","null",
"1400000US06001441523","Census Tract 4415.23, Alameda County, California","7588","null","106392","null",
"1400000US06001441524","Census Tract 4415.24, Alameda County, California","22601","null","108723","null",
"1400000US06001441601","Census Tract 4416.01, Alameda County, California","11408","null","91967","null",
"1400000US06001441602","Census Tract 4416.02, Alameda County, California","8883","null","75229","null",
"1400000US06001441700","Census Tract 4417, Alameda County, California","7988","null","72055","null",
"1400000US06001441800","Census Tract 4418, Alameda County, California","14323","null","69138","null",
