"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022M","B25063_022MA","B25063_022EA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024M","B25063_024MA","B25063_024EA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026M","B25063_026MA","B25063_026EA","B25063_027E","B25063_027M","B25063_027MA","B25063_027EA",
"0500000US06019","Fresno County, California","142229","1889","null","null","136501","1911","null","null","714","null","188","null","599","195","null","null","804","null","187","null","1141","289","null","null","1844","302","null","null","1849","null","297","null","1935","null","300","null","2275","null","309","null","2486","358","null","null","3398","395","null","null","4581","451","null","null","5679","null","507","null","7517","null","626","null","7365","null","532","null","9065","734","null","null","16890","1015","null","null","14929","null","817","null","24848","null","1113","null","13867","null","912","null","11028","812","null","null","2589","385","null","null","540","178","null","null","229","null","96","null","329","123","null","null","5728","458","null","null",
"0500000US06021","Glenn County, California","4166","306","null","null","3886","305","null","null","2","null","4","null","7","14","null","null","65","null","66","null","23","29","null","null","132","71","null","null","120","null","74","null","135","null","80","null","168","null","110","null","190","96","null","null","270","139","null","null","135","62","null","null","207","null","113","null","222","null","115","null","267","null","107","null","427","168","null","null","372","135","null","null","348","null","126","null","550","null","182","null","145","null","79","null","66","42","null","null","1","3","null","null","23","35","null","null","4","null","8","null","7","11","null","null","280","95","null","null",
"0500000US06023","Humboldt County, California","23987","793","null","null","22587","787","null","null","24","null","27","null","20","28","null","null","59","null","50","null","119","55","null","null","413","140","null","null","191","null","85","null","307","null","140","null","419","null","113","null","404","151","null","null","645","216","null","null","681","163","null","null","1037","null","222","null","1291","null","238","null","1522","null","275","null","1288","282","null","null","2911","374","null","null","2296","null","328","null","3361","null","388","null","2386","null","358","null","2523","349","null","null","553","177","null","null","103","75","null","null","27","null","43","null","7","11","null","null","1400","262","null","null",
"0500000US06025","Imperial County, California","20256","779","null","null","18967","799","null","null","53","null","58","null","46","39","null","null","218","null","116","null","286","111","null","null","706","174","null","null","223","null","100","null","519","null","190","null","663","null","216","null","750","163","null","null","757","227","null","null","853","213","null","null","1096","null","293","null","1197","null","229","null","1367","null","276","null","1354","298","null","null","2198","357","null","null","1386","null","289","null","2392","null","412","null","1696","null","320","null","1009","246","null","null","182","93","null","null","0","28","null","null","6","null","11","null","10","17","null","null","1289","229","null","null",
"0500000US06027","Inyo County, California","2769","222","null","null","2469","215","null","null","24","null","23","null","0","19","null","null","18","null","23","null","38","30","null","null","24","21","null","null","59","null","56","null","70","null","67","null","40","null","41","null","63","36","null","null","97","51","null","null","209","114","null","null","78","null","68","null","150","null","79","null","116","null","68","null","121","66","null","null","445","161","null","null","186","null","78","null","369","null","109","null","122","null","55","null","207","82","null","null","21","19","null","null","5","5","null","null","0","null","19","null","7","13","null","null","300","70","null","null",
"0500000US06029","Kern County, California","113028","1838","null","null","107952","1932","null","null","299","null","122","null","197","117","null","null","218","null","80","null","674","181","null","null","998","240","null","null","1258","null","278","null","1202","null","250","null","1718","null","291","null","2255","357","null","null","3686","442","null","null","4357","447","null","null","4953","null","559","null","6831","null","671","null","6144","null","575","null","7285","610","null","null","11336","717","null","null","10490","null","755","null","20008","null","1053","null","11087","null","770","null","9626","836","null","null","2466","458","null","null","575","188","null","null","183","null","100","null","106","75","null","null","5076","525","null","null",
"0500000US06031","Kings County, California","20865","773","null","null","19764","751","null","null","115","null","80","null","79","59","null","null","66","null","46","null","158","73","null","null","351","126","null","null","371","null","140","null","338","null","153","null","252","null","101","null","374","145","null","null","595","194","null","null","631","143","null","null","787","null","219","null","1186","null","262","null","1324","null","294","null","1340","276","null","null","2156","388","null","null","1836","null","401","null","3682","null","411","null","1975","null","335","null","1735","240","null","null","323","157","null","null","62","61","null","null","28","null","32","null","0","28","null","null","1101","190","null","null",
"0500000US06033","Lake County, California","9646","689","null","null","9072","686","null","null","31","null","41","null","100","70","null","null","39","null","37","null","149","109","null","null","204","86","null","null","189","null","93","null","67","null","39","null","233","null","160","null","291","141","null","null","299","131","null","null","292","145","null","null","441","null","143","null","527","null","166","null","389","null","145","null","445","200","null","null","1027","245","null","null","920","null","217","null","1207","null","275","null","1120","null","221","null","953","276","null","null","114","83","null","null","12","19","null","null","23","null","36","null","0","28","null","null","574","137","null","null",
"0500000US06035","Lassen County, California","3365","302","null","null","3079","291","null","null","0","null","25","null","22","33","null","null","46","null","39","null","71","43","null","null","60","31","null","null","80","null","60","null","28","null","17","null","77","null","39","null","52","37","null","null","88","66","null","null","153","87","null","null","124","null","62","null","103","null","51","null","189","null","87","null","168","65","null","null","230","90","null","null","250","null","101","null","809","null","178","null","245","null","82","null","202","81","null","null","6","7","null","null","4","7","null","null","37","null","32","null","35","39","null","null","286","93","null","null",
"0500000US06037","Los Angeles County, California","1782269","7413","null","null","1737285","7443","null","null","3859","null","456","null","2440","307","null","null","3583","null","425","null","11468","625","null","null","21491","864","null","null","12548","null","750","null","9144","null","627","null","12831","null","698","null","11333","667","null","null","15711","779","null","null","16787","804","null","null","21718","null","841","null","26027","null","982","null","34000","null","1146","null","41706","1170","null","null","110356","2115","null","null","144944","null","2187","null","351858","null","3699","null","291243","null","3161","null","339367","4290","null","null","145521","2587","null","null","59799","1803","null","null","28370","null","1140","null","21181","1135","null","null","44984","1362","null","null",
