"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06039","Madera County, California","16153","691","null","null","14556","null","721","null","0","null","30","null","81","null","72","null","37","null","49","null","77","null","51","null","151","79","null","null","231","null","108","null","283","null","130","null","236","null","156","null","364","null","134","null","574","205","null","null","516","null","152","null","659","null","172","null","818","null","197","null","880","null","203","null","723","null","210","null","1875","358","null","null","1372","null","342","null","2553","null","388","null","1611","null","280","null","1047","null","248","null","468","155","null","null","1597","null","297","null",
"0500000US06041","Marin County, California","38564","969","null","null","37416","null","948","null","74","null","64","null","52","null","42","null","188","null","105","null","259","null","118","null","489","172","null","null","229","null","105","null","327","null","134","null","94","null","62","null","231","null","95","null","478","181","null","null","180","null","114","null","204","null","93","null","256","null","113","null","429","null","162","null","350","null","114","null","668","170","null","null","1392","null","284","null","4241","null","483","null","6500","null","628","null","10600","null","709","null","10175","738","null","null","1148","null","256","null",
"0500000US06043","Mariposa County, California","2026","370","null","null","1802","null","362","null","80","null","76","null","0","null","20","null","8","null","13","null","95","null","84","null","27","33","null","null","52","null","56","null","10","null","18","null","118","null","90","null","47","null","68","null","28","35","null","null","46","null","38","null","63","null","66","null","155","null","100","null","25","null","31","null","155","null","106","null","171","99","null","null","249","null","141","null","229","null","95","null","186","null","120","null","22","null","37","null","36","51","null","null","224","null","106","null",
"0500000US06045","Mendocino County, California","13830","599","null","null","12720","null","559","null","39","null","63","null","39","null","38","null","48","null","38","null","142","null","71","null","270","143","null","null","259","null","126","null","317","null","132","null","351","null","126","null","475","null","164","null","393","153","null","null","262","null","134","null","450","null","169","null","690","null","216","null","395","null","143","null","642","null","179","null","958","210","null","null","1176","null","239","null","2622","null","415","null","1299","null","271","null","1187","null","250","null","706","204","null","null","1110","null","235","null",
"0500000US06047","Merced County, California","34084","1096","null","null","31594","null","1103","null","24","null","28","null","77","null","66","null","155","null","91","null","424","null","155","null","296","107","null","null","394","null","121","null","498","null","146","null","790","null","232","null","1155","null","263","null","1655","293","null","null","1454","null","315","null","2132","null","324","null","1725","null","252","null","1986","null","358","null","1962","null","344","null","3381","417","null","null","3365","null","410","null","5549","null","520","null","2759","null","427","null","1518","null","317","null","295","118","null","null","2490","null","369","null",
"0500000US06049","Modoc County, California","1069","172","null","null","940","null","157","null","0","null","18","null","24","null","38","null","0","null","18","null","15","null","19","null","13","17","null","null","34","null","45","null","11","null","22","null","53","null","39","null","92","null","64","null","115","69","null","null","97","null","66","null","59","null","35","null","28","null","22","null","13","null","20","null","15","null","22","null","130","67","null","null","64","null","40","null","61","null","42","null","39","null","40","null","29","null","33","null","48","54","null","null","129","null","58","null",
"0500000US06051","Mono County, California","2202","392","null","null","1922","null","381","null","0","null","20","null","0","null","20","null","0","null","20","null","16","null","26","null","2","6","null","null","0","null","20","null","11","null","19","null","22","null","36","null","8","null","13","null","28","47","null","null","0","null","20","null","0","null","20","null","62","null","64","null","92","null","67","null","53","null","73","null","158","98","null","null","184","null","105","null","556","null","179","null","256","null","122","null","223","null","125","null","251","170","null","null","280","null","148","null",
"0500000US06053","Monterey County, California","61660","1106","null","null","59809","null","1088","null","150","null","90","null","34","null","27","null","129","null","83","null","347","null","134","null","550","154","null","null","340","null","112","null","414","null","131","null","630","null","153","null","328","null","128","null","642","196","null","null","701","null","161","null","825","null","195","null","1450","null","311","null","1399","null","281","null","1472","null","282","null","4848","518","null","null","5907","null","486","null","13291","null","749","null","8282","null","636","null","10855","null","598","null","7215","620","null","null","1851","null","279","null",
"0500000US06055","Napa County, California","18754","717","null","null","17880","null","687","null","0","null","30","null","32","null","35","null","21","null","23","null","134","null","98","null","252","89","null","null","172","null","89","null","122","null","70","null","138","null","63","null","130","null","78","null","175","95","null","null","209","null","89","null","251","null","100","null","151","null","90","null","496","null","183","null","376","null","132","null","961","206","null","null","1312","null","303","null","3483","null","398","null","2815","null","357","null","3969","null","371","null","2681","417","null","null","874","null","203","null",
"0500000US06057","Nevada County, California","11372","649","null","null","10725","null","647","null","0","null","30","null","8","null","14","null","22","null","27","null","130","null","68","null","122","67","null","null","123","null","97","null","66","null","69","null","165","null","116","null","231","null","108","null","281","149","null","null","74","null","51","null","184","null","114","null","333","null","158","null","411","null","152","null","323","null","121","null","802","220","null","null","1249","null","266","null","1558","null","298","null","1670","null","316","null","1977","null","345","null","996","246","null","null","647","null","173","null",
