"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008M","B25063_008MA","B25063_008EA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027EA","B25063_027M","B25063_027MA",
"0500000US06093","Siskiyou County, California","6934","386","null","null","6292","367","null","null","2","null","3","null","67","58","null","null","62","41","null","null","140","null","86","null","127","59","null","null","178","71","null","null","180","null","97","null","165","null","65","null","188","null","53","null","268","79","null","null","299","null","119","null","334","null","115","null","421","null","106","null","391","null","132","null","282","91","null","null","670","null","124","null","750","null","186","null","1045","206","null","null","327","null","105","null","248","null","95","null","83","59","null","null","21","null","24","null","44","null","46","null","0","null","25","null","642","null","138","null",
"0500000US06095","Solano County, California","57533","1155","null","null","55504","1109","null","null","47","null","58","null","21","24","null","null","157","80","null","null","319","null","124","null","507","156","null","null","330","134","null","null","265","null","113","null","446","null","163","null","507","null","186","null","578","179","null","null","597","null","179","null","551","null","169","null","530","null","160","null","862","null","189","null","1180","243","null","null","3493","null","461","null","4856","null","497","null","10907","761","null","null","9161","null","625","null","13290","null","688","null","5276","523","null","null","1209","null","213","null","275","null","88","null","140","null","70","null","2029","null","344","null",
"0500000US06097","Sonoma County, California","76192","1352","null","null","72770","1347","null","null","90","null","57","null","114","82","null","null","194","115","null","null","826","null","230","null","749","166","null","null","595","175","null","null","444","null","185","null","617","null","152","null","706","null","191","null","549","160","null","null","755","null","221","null","685","null","195","null","561","null","161","null","1202","null","273","null","1280","257","null","null","3121","null","374","null","5218","null","588","null","15153","868","null","null","12526","null","832","null","16657","null","924","null","7677","672","null","null","1836","null","285","null","833","null","216","null","382","null","153","null","3422","null","354","null",
"0500000US06099","Stanislaus County, California","73242","1288","null","null","69469","1298","null","null","55","null","52","null","159","97","null","null","141","78","null","null","595","null","140","null","688","157","null","null","846","214","null","null","627","null","164","null","653","null","162","null","739","null","215","null","1352","273","null","null","1579","null","224","null","2071","null","288","null","2758","null","391","null","3041","null","458","null","3455","423","null","null","8390","null","618","null","8514","null","724","null","15716","813","null","null","9255","null","690","null","6610","null","626","null","1554","320","null","null","230","null","111","null","125","null","86","null","316","null","143","null","3773","null","407","null",
"0500000US06101","Sutter County, California","13053","587","null","null","12307","562","null","null","33","null","40","null","24","25","null","null","17","27","null","null","57","null","43","null","194","90","null","null","160","92","null","null","80","null","41","null","140","null","70","null","108","null","64","null","251","97","null","null","498","null","144","null","841","null","190","null","623","null","141","null","1006","null","216","null","685","193","null","null","1369","null","249","null","1157","null","216","null","2104","268","null","null","1519","null","239","null","1195","null","263","null","163","79","null","null","53","null","42","null","12","null","14","null","18","null","26","null","746","null","162","null",
"0500000US06103","Tehama County, California","7696","538","null","null","7064","530","null","null","0","null","28","null","34","47","null","null","0","28","null","null","119","null","77","null","237","107","null","null","164","92","null","null","79","null","51","null","280","null","130","null","261","null","116","null","243","103","null","null","398","null","170","null","413","null","165","null","393","null","162","null","644","null","211","null","422","158","null","null","924","null","252","null","747","null","179","null","830","188","null","null","510","null","167","null","283","null","97","null","54","59","null","null","12","null","20","null","0","null","28","null","17","null","25","null","632","null","191","null",
"0500000US06105","Trinity County, California","1706","255","null","null","1472","244","null","null","29","null","32","null","0","19","null","null","3","4","null","null","7","null","11","null","90","77","null","null","14","21","null","null","103","null","94","null","27","null","40","null","25","null","29","null","42","29","null","null","139","null","81","null","66","null","50","null","64","null","61","null","87","null","53","null","55","50","null","null","208","null","84","null","112","null","62","null","255","133","null","null","76","null","52","null","58","null","58","null","10","19","null","null","2","null","4","null","0","null","19","null","0","null","19","null","234","null","91","null",
"0500000US06107","Tulare County, California","57885","1133","null","null","54641","1098","null","null","72","null","43","null","164","96","null","null","227","104","null","null","548","null","172","null","899","166","null","null","827","167","null","null","1122","null","237","null","1537","null","259","null","1612","null","256","null","2383","359","null","null","2419","null","334","null","2999","null","378","null","3439","null","377","null","3452","null","382","null","3522","352","null","null","6950","null","626","null","5259","null","557","null","8632","712","null","null","4583","null","505","null","2726","null","398","null","996","379","null","null","181","null","91","null","41","null","43","null","51","null","37","null","3244","null","343","null",
"0500000US06109","Tuolumne County, California","7004","606","null","null","6455","589","null","null","69","null","83","null","65","89","null","null","2","4","null","null","103","null","56","null","45","29","null","null","22","33","null","null","71","null","51","null","140","null","117","null","118","null","74","null","114","54","null","null","290","null","138","null","92","null","49","null","368","null","175","null","330","null","169","null","474","209","null","null","763","null","235","null","924","null","259","null","1254","289","null","null","580","null","173","null","505","null","135","null","77","72","null","null","22","null","27","null","27","null","40","null","0","null","28","null","549","null","170","null",
"0500000US06111","Ventura County, California","96360","1519","null","null","93502","1505","null","null","94","null","57","null","120","101","null","null","381","116","null","null","831","null","204","null","961","201","null","null","801","224","null","null","583","null","161","null","573","null","173","null","464","null","126","null","697","173","null","null","780","null","191","null","810","null","180","null","1021","null","223","null","855","null","194","null","1228","237","null","null","3189","null","359","null","4173","null","439","null","13301","672","null","null","15547","null","738","null","25119","null","1038","null","13966","755","null","null","4820","null","534","null","2095","null","356","null","1093","null","222","null","2858","null","327","null",
"0500000US06113","Yolo County, California","34493","909","null","null","33325","930","null","null","66","null","65","null","90","59","null","null","53","39","null","null","348","null","143","null","271","95","null","null","274","125","null","null","450","null","174","null","518","null","188","null","251","null","96","null","584","212","null","null","526","null","193","null","940","null","235","null","901","null","219","null","1218","null","253","null","1359","283","null","null","2865","null","340","null","3245","null","421","null","6656","574","null","null","5122","null","497","null","5009","null","514","null","1699","275","null","null","578","null","162","null","135","null","63","null","167","null","68","null","1168","null","249","null",
"0500000US06115","Yuba County, California","10546","515","null","null","9807","455","null","null","11","null","18","null","123","68","null","null","62","44","null","null","65","null","50","null","172","75","null","null","230","122","null","null","90","null","45","null","187","null","96","null","74","null","47","null","298","95","null","null","510","null","150","null","505","null","200","null","463","null","157","null","571","null","160","null","354","119","null","null","1405","null","296","null","685","null","152","null","1363","284","null","null","1040","null","179","null","1311","null","289","null","174","78","null","null","71","null","81","null","43","null","40","null","0","null","28","null","739","null","207","null",
