"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010M","B25063_010MA","B25063_010EA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012EA","B25063_012M","B25063_012MA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016M","B25063_016MA","B25063_016EA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021M","B25063_021MA","B25063_021EA","B25063_022E","B25063_022M","B25063_022MA","B25063_022EA","B25063_023E","B25063_023EA","B25063_023M","B25063_023MA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06029","Kern County, California","107108","null","1871","null","102218","null","1905","null","236","117","null","null","233","112","null","null","310","124","null","null","714","221","null","null","1242","null","303","null","1302","null","251","null","1469","319","null","null","2040","374","null","null","2647","379","null","null","3544","null","408","null","4224","null","509","null","5653","495","null","null","5442","580","null","null","6776","718","null","null","5928","581","null","null","11017","null","848","null","10722","null","821","null","17784","1109","null","null","9670","858","null","null","8386","768","null","null","2879","null","379","null","4890","null","553","null",
"0500000US06031","Kings County, California","19658","null","701","null","18301","null","655","null","56","54","null","null","53","53","null","null","100","83","null","null","157","65","null","null","337","null","115","null","356","null","130","null","285","143","null","null","281","98","null","null","414","133","null","null","596","null","155","null","643","null","171","null","680","198","null","null","1131","286","null","null","1263","235","null","null","1295","304","null","null","2120","null","336","null","1701","null","307","null","3246","365","null","null","1922","316","null","null","1283","243","null","null","382","null","150","null","1357","null","211","null",
"0500000US06033","Lake County, California","9889","null","785","null","9255","null","720","null","41","47","null","null","8","14","null","null","33","34","null","null","155","117","null","null","110","null","82","null","230","null","115","null","122","84","null","null","184","124","null","null","339","165","null","null","230","null","137","null","312","null","138","null","508","183","null","null","598","184","null","null","338","168","null","null","526","174","null","null","891","null","263","null","890","null","270","null","1584","371","null","null","1435","288","null","null","587","189","null","null","134","null","92","null","634","null","208","null",
"0500000US06035","Lassen County, California","3686","null","395","null","3466","null","383","null","0","26","null","null","28","43","null","null","36","41","null","null","64","47","null","null","127","null","81","null","60","null","55","null","48","37","null","null","89","69","null","null","152","113","null","null","55","null","36","null","173","null","90","null","116","60","null","null","152","78","null","null","204","88","null","null","205","128","null","null","334","null","136","null","299","null","135","null","785","190","null","null","344","146","null","null","109","58","null","null","86","null","51","null","220","null","95","null",
"0500000US06037","Los Angeles County, California","1715285","null","7081","null","1671886","null","7185","null","3459","425","null","null","2407","342","null","null","3790","426","null","null","14386","803","null","null","21186","null","938","null","10882","null","748","null","9468","615","null","null","12732","759","null","null","12234","709","null","null","16323","null","997","null","19772","null","944","null","23930","1008","null","null","31509","1239","null","null","40089","1267","null","null","50057","1571","null","null","122024","null","1975","null","155562","null","2435","null","351448","3799","null","null","273712","3540","null","null","293308","3696","null","null","203608","null","3309","null","43399","null","1164","null",
"0500000US06039","Madera County, California","16678","null","815","null","15132","null","844","null","10","16","null","null","107","83","null","null","22","28","null","null","162","85","null","null","240","null","107","null","164","null","82","null","250","116","null","null","257","114","null","null","362","125","null","null","560","null","184","null","561","null","181","null","735","178","null","null","628","171","null","null","693","189","null","null","742","209","null","null","1847","null","339","null","1625","null","343","null","2965","474","null","null","1688","289","null","null","1034","241","null","null","480","null","178","null","1546","null","319","null",
"0500000US06041","Marin County, California","38316","null","1133","null","37203","null","1067","null","42","41","null","null","182","112","null","null","254","175","null","null","255","104","null","null","446","null","146","null","174","null","91","null","304","130","null","null","116","71","null","null","228","77","null","null","401","null","142","null","194","null","118","null","160","81","null","null","280","101","null","null","322","138","null","null","235","103","null","null","728","null","167","null","1227","null","240","null","4500","468","null","null","5876","550","null","null","10492","801","null","null","10787","null","654","null","1113","null","240","null",
"0500000US06043","Mariposa County, California","2053","null","318","null","1859","null","302","null","118","77","null","null","0","19","null","null","9","14","null","null","69","62","null","null","10","null","16","null","6","null","11","null","35","39","null","null","115","87","null","null","51","76","null","null","29","null","30","null","38","null","32","null","13","20","null","null","153","105","null","null","21","21","null","null","152","89","null","null","168","null","86","null","268","null","127","null","326","109","null","null","176","125","null","null","80","66","null","null","22","null","36","null","194","null","115","null",
"0500000US06045","Mendocino County, California","14151","null","621","null","13030","null","617","null","44","70","null","null","72","64","null","null","122","73","null","null","141","60","null","null","321","null","128","null","310","null","124","null","381","157","null","null","293","134","null","null","478","161","null","null","347","null","115","null","333","null","153","null","450","179","null","null","609","192","null","null","386","134","null","null","567","191","null","null","977","null","220","null","1288","null","288","null","2414","385","null","null","1396","306","null","null","1280","249","null","null","821","null","180","null","1121","null","250","null",
"0500000US06047","Merced County, California","35011","null","912","null","32589","null","900","null","21","23","null","null","126","71","null","null","149","84","null","null","400","119","null","null","321","null","122","null","427","null","144","null","481","138","null","null","699","189","null","null","992","238","null","null","1294","null","303","null","1613","null","304","null","1898","316","null","null","1681","304","null","null","1977","325","null","null","2048","315","null","null","3596","null","452","null","3436","null","461","null","6354","542","null","null","2940","383","null","null","1707","315","null","null","429","null","156","null","2422","null","284","null",
