"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010M","B25063_010MA","B25063_010EA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012EA","B25063_012M","B25063_012MA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021M","B25063_021MA","B25063_021EA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023EA","B25063_023M","B25063_023MA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06077","San Joaquin County, California","83609","null","1827","null","79719","null","1784","null","47","39","null","null","89","85","null","null","266","110","null","null","531","null","175","null","707","null","159","null","809","null","233","null","828","180","null","null","919","199","null","null","1273","null","284","null","1754","null","380","null","2266","null","322","null","2813","343","null","null","3528","410","null","null","3741","null","403","null","3601","null","390","null","8799","null","678","null","8440","null","750","null","15070","958","null","null","9480","740","null","null","10086","null","699","null","4672","null","546","null","3890","null","418","null",
"0500000US06079","San Luis Obispo County, California","40365","null","987","null","38063","null","985","null","14","22","null","null","0","95","null","null","113","89","null","null","121","null","74","null","287","null","100","null","354","null","152","null","136","78","null","null","349","197","null","null","433","null","172","null","679","null","225","null","579","null","218","null","831","214","null","null","817","223","null","null","1046","null","260","null","1188","null","273","null","3246","null","467","null","3231","null","445","null","8513","656","null","null","5482","507","null","null","6992","null","585","null","3652","null","481","null","2302","null","436","null",
"0500000US06081","San Mateo County, California","102296","null","1353","null","99403","null","1361","null","75","57","null","null","57","53","null","null","189","85","null","null","255","null","109","null","484","null","132","null","323","null","138","null","259","98","null","null","606","210","null","null","582","null","140","null","505","null","184","null","273","null","96","null","341","146","null","null","779","182","null","null","927","null","222","null","924","null","221","null","2456","null","355","null","4076","null","488","null","17074","926","null","null","19103","1021","null","null","26318","null","1167","null","23797","null","1036","null","2893","null","369","null",
"0500000US06083","Santa Barbara County, California","65746","null","1292","null","62834","null","1254","null","74","60","null","null","96","63","null","null","210","103","null","null","317","null","109","null","713","null","206","null","582","null","174","null","455","132","null","null","532","180","null","null","555","null","150","null","644","null","180","null","791","null","183","null","831","196","null","null","1170","260","null","null","1077","null","252","null","1691","null","303","null","4009","null","495","null","4301","null","441","null","11368","769","null","null","9418","654","null","null","13426","null","758","null","10574","null","583","null","2912","null","380","null",
"0500000US06085","Santa Clara County, California","247755","null","2642","null","241295","null","2558","null","366","120","null","null","435","142","null","null","376","149","null","null","1817","null","300","null","2479","null","359","null","1187","null","243","null","1359","270","null","null","1858","309","null","null","1760","null","258","null","1556","null","325","null","2121","null","280","null","2570","434","null","null","1669","327","null","null","2645","null","396","null","2643","null","402","null","8413","null","723","null","12417","null","745","null","39033","1393","null","null","42903","1281","null","null","62831","null","1764","null","50857","null","1715","null","6460","null","588","null",
"0500000US06087","Santa Cruz County, California","38132","null","1019","null","36651","null","1000","null","8","15","null","null","142","98","null","null","113","74","null","null","542","null","175","null","725","null","189","null","583","null","172","null","323","139","null","null","371","133","null","null","405","null","172","null","327","null","92","null","379","null","132","null","579","171","null","null","652","195","null","null","757","null","177","null","579","null","155","null","2172","null","362","null","2145","null","357","null","5841","587","null","null","5602","494","null","null","8697","null","643","null","5709","null","447","null","1481","null","276","null",
"0500000US06089","Shasta County, California","23996","null","890","null","22411","null","868","null","42","47","null","null","78","81","null","null","124","99","null","null","257","null","114","null","588","null","168","null","272","null","96","null","522","193","null","null","368","127","null","null","544","null","206","null","602","null","171","null","838","null","230","null","1173","217","null","null","1017","243","null","null","1399","null","297","null","1192","null","249","null","2659","null","442","null","1876","null","329","null","4231","495","null","null","1955","386","null","null","1675","null","250","null","999","null","214","null","1585","null","353","null",
"0500000US06091","Sierra County, California","308","null","118","null","301","null","117","null","0","95","null","null","0","95","null","null","0","95","null","null","0","null","95","null","60","null","56","null","18","null","28","null","0","95","null","null","0","95","null","null","0","null","95","null","9","null","15","null","0","null","95","null","0","95","null","null","10","12","null","null","34","null","47","null","7","null","11","null","5","null","6","null","57","null","44","null","77","56","null","null","5","10","null","null","0","null","95","null","19","null","31","null","7","null","10","null",
"0500000US06093","Siskiyou County, California","6959","null","378","null","6298","null","376","null","11","17","null","null","10","12","null","null","69","46","null","null","203","null","106","null","181","null","75","null","102","null","64","null","189","82","null","null","278","106","null","null","225","null","78","null","376","null","109","null","521","null","148","null","208","79","null","null","404","147","null","null","328","null","106","null","269","null","114","null","550","null","143","null","600","null","159","null","843","185","null","null","336","115","null","null","252","null","107","null","343","null","131","null","661","null","125","null",
"0500000US06095","Solano County, California","48947","null","1327","null","47094","null","1281","null","0","95","null","null","54","67","null","null","239","116","null","null","380","null","130","null","410","null","135","null","354","null","119","null","360","130","null","null","486","158","null","null","528","null","161","null","409","null","137","null","508","null","176","null","515","140","null","null","728","222","null","null","811","null","225","null","1187","null","253","null","3377","null","465","null","4293","null","502","null","10037","759","null","null","7249","626","null","null","9989","null","759","null","5180","null","547","null","1853","null","301","null",
