"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019M","B25063_019MA","B25063_019EA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024M","B25063_024MA","B25063_024EA","B25063_025E","B25063_025M","B25063_025MA","B25063_025EA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027EA","B25063_027M","B25063_027MA",
"0500000US06039","Madera County, California","16757","708","null","null","15527","700","null","null","94","112","null","null","108","null","88","null","14","null","23","null","137","87","null","null","357","122","null","null","198","null","105","null","229","null","101","null","211","null","145","null","377","142","null","null","234","105","null","null","286","118","null","null","397","144","null","null","674","204","null","null","695","null","193","null","610","null","181","null","1373","287","null","null","2202","404","null","null","3409","428","null","null","2495","null","528","null","1075","null","250","null","276","126","null","null","18","20","null","null","43","52","null","null","15","null","23","null","1230","null","272","null",
"0500000US06041","Marin County, California","37550","1126","null","null","36130","1105","null","null","0","29","null","null","165","null","101","null","113","null","91","null","305","96","null","null","420","155","null","null","276","null","119","null","340","null","183","null","345","null","153","null","184","107","null","null","206","88","null","null","261","135","null","null","257","115","null","null","194","88","null","null","199","null","90","null","77","null","48","null","487","146","null","null","600","143","null","null","2495","381","null","null","4218","null","543","null","9529","null","669","null","6189","591","null","null","4249","513","null","null","2665","346","null","null","2356","null","297","null","1420","null","312","null",
"0500000US06043","Mariposa County, California","2175","299","null","null","1921","283","null","null","77","62","null","null","13","null","24","null","17","null","21","null","41","54","null","null","24","30","null","null","31","null","33","null","34","null","30","null","85","null","61","null","92","63","null","null","32","37","null","null","64","63","null","null","51","49","null","null","80","49","null","null","163","null","97","null","84","null","49","null","105","70","null","null","131","87","null","null","393","138","null","null","200","null","104","null","196","null","90","null","0","19","null","null","8","12","null","null","0","19","null","null","0","null","19","null","254","null","135","null",
"0500000US06045","Mendocino County, California","13952","668","null","null","12662","673","null","null","7","9","null","null","70","null","61","null","145","null","89","null","135","58","null","null","397","143","null","null","277","null","132","null","160","null","81","null","366","null","174","null","205","91","null","null","270","116","null","null","345","156","null","null","288","125","null","null","288","119","null","null","313","null","119","null","412","null","145","null","1067","254","null","null","1065","256","null","null","2706","317","null","null","1810","null","291","null","1754","null","290","null","428","159","null","null","52","46","null","null","58","60","null","null","44","null","34","null","1290","null","223","null",
"0500000US06047","Merced County, California","38055","977","null","null","35277","963","null","null","14","21","null","null","99","null","74","null","248","null","170","null","267","102","null","null","492","140","null","null","512","null","155","null","443","null","178","null","532","null","140","null","632","161","null","null","1242","293","null","null","1029","205","null","null","1493","308","null","null","1892","335","null","null","1904","null","274","null","2050","null","344","null","3520","358","null","null","3731","375","null","null","7654","579","null","null","3903","null","511","null","3102","null","444","null","311","140","null","null","108","88","null","null","36","26","null","null","63","null","68","null","2778","null","372","null",
"0500000US06049","Modoc County, California","983","174","null","null","860","157","null","null","0","17","null","null","10","null","17","null","4","null","7","null","9","7","null","null","21","20","null","null","21","null","26","null","51","null","61","null","41","null","29","null","27","33","null","null","83","53","null","null","48","35","null","null","37","43","null","null","31","23","null","null","61","null","53","null","56","null","43","null","164","79","null","null","159","76","null","null","20","35","null","null","17","null","16","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","123","null","67","null",
"0500000US06051","Mono County, California","2149","399","null","null","1851","391","null","null","0","19","null","null","24","null","38","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","17","null","21","null","59","null","65","null","13","19","null","null","91","84","null","null","24","39","null","null","51","66","null","null","0","19","null","null","26","null","44","null","105","null","90","null","174","107","null","null","133","107","null","null","507","168","null","null","364","null","185","null","177","null","108","null","77","83","null","null","0","19","null","null","3","6","null","null","6","null","11","null","298","null","145","null",
"0500000US06053","Monterey County, California","62066","1173","null","null","60163","1170","null","null","117","72","null","null","45","null","38","null","125","null","79","null","159","67","null","null","604","169","null","null","396","null","122","null","287","null","100","null","475","null","147","null","379","129","null","null","434","126","null","null","718","218","null","null","671","170","null","null","740","175","null","null","978","null","244","null","1199","null","244","null","3265","358","null","null","4189","389","null","null","11810","676","null","null","9965","null","678","null","13445","null","725","null","5984","605","null","null","2074","301","null","null","1565","228","null","null","539","null","143","null","1903","null","262","null",
"0500000US06055","Napa County, California","18090","573","null","null","17194","556","null","null","54","42","null","null","10","null","15","null","16","null","17","null","94","46","null","null","108","52","null","null","213","null","90","null","233","null","122","null","91","null","63","null","55","34","null","null","162","94","null","null","145","67","null","null","134","62","null","null","85","43","null","null","297","null","142","null","231","null","107","null","567","144","null","null","772","182","null","null","2594","325","null","null","2358","null","264","null","4564","null","382","null","2534","339","null","null","1124","173","null","null","407","119","null","null","346","null","103","null","896","null","169","null",
"0500000US06057","Nevada County, California","10411","652","null","null","9628","650","null","null","30","36","null","null","13","null","17","null","34","null","39","null","92","71","null","null","46","44","null","null","87","null","60","null","47","null","44","null","188","null","115","null","83","65","null","null","12","13","null","null","147","89","null","null","189","116","null","null","222","148","null","null","222","null","153","null","263","null","132","null","823","218","null","null","792","256","null","null","1753","302","null","null","1527","null","290","null","2000","null","357","null","726","187","null","null","178","113","null","null","126","101","null","null","28","null","26","null","783","null","192","null",
