"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012EA","B25063_012M","B25063_012MA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023EA","B25063_023M","B25063_023MA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026M","B25063_026MA","B25063_026EA","B25063_027E","B25063_027EA","B25063_027M","B25063_027MA",
"0500000US06049","Modoc County, California","842","149","null","null","706","null","134","null","0","null","19","null","13","null","21","null","15","null","24","null","2","3","null","null","20","null","21","null","36","null","28","null","0","null","19","null","4","null","5","null","47","null","49","null","21","null","24","null","51","null","36","null","28","null","40","null","36","null","38","null","72","null","49","null","55","null","35","null","98","56","null","null","74","null","45","null","90","null","63","null","18","null","16","null","26","null","32","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","136","null","61","null",
"0500000US06051","Mono County, California","1661","329","null","null","1472","null","314","null","1","null","2","null","0","null","21","null","0","null","21","null","0","21","null","null","22","null","52","null","0","null","21","null","21","null","31","null","0","null","21","null","6","null","9","null","0","null","21","null","19","null","31","null","16","null","29","null","0","null","21","null","25","null","30","null","0","null","21","null","151","103","null","null","183","null","117","null","294","null","167","null","333","null","170","null","259","null","145","null","114","null","105","null","0","null","21","null","3","null","8","null","25","36","null","null","189","null","119","null",
"0500000US06053","Monterey County, California","61657","1532","null","null","59951","null","1513","null","29","null","29","null","25","null","32","null","63","null","55","null","205","105","null","null","535","null","177","null","291","null","111","null","258","null","109","null","267","null","104","null","261","null","119","null","327","null","150","null","648","null","196","null","637","null","185","null","482","null","221","null","720","null","221","null","938","null","270","null","1987","312","null","null","2642","null","415","null","8152","null","742","null","8070","null","576","null","17247","null","857","null","8826","null","663","null","3262","null","449","null","2042","null","369","null","2037","369","null","null","1706","null","235","null",
"0500000US06055","Napa County, California","17060","677","null","null","16140","null","669","null","57","null","53","null","0","null","31","null","27","null","34","null","57","35","null","null","168","null","73","null","172","null","89","null","98","null","56","null","140","null","93","null","65","null","39","null","38","null","38","null","151","null","81","null","86","null","57","null","50","null","35","null","154","null","103","null","214","null","91","null","369","156","null","null","390","null","126","null","1493","null","294","null","2123","null","343","null","4039","null","437","null","3284","null","377","null","1619","null","257","null","891","null","177","null","455","134","null","null","920","null","239","null",
"0500000US06057","Nevada County, California","10312","716","null","null","9641","null","730","null","13","null","22","null","28","null","32","null","0","null","31","null","66","53","null","null","47","null","50","null","72","null","59","null","254","null","237","null","123","null","139","null","95","null","56","null","96","null","101","null","81","null","84","null","319","null","254","null","183","null","135","null","185","null","125","null","156","null","88","null","554","210","null","null","472","null","179","null","1731","null","316","null","1328","null","271","null","2231","null","388","null","991","null","284","null","424","null","154","null","169","null","100","null","23","25","null","null","671","null","183","null",
"0500000US06059","Orange County, California","444773","4043","null","null","434099","null","3944","null","373","null","122","null","324","null","162","null","579","null","247","null","722","189","null","null","3722","null","529","null","1539","null","322","null","1861","null","390","null","1598","null","383","null","1647","null","340","null","1375","null","258","null","1258","null","245","null","1313","null","328","null","1720","null","351","null","1641","null","359","null","1840","null","496","null","3349","511","null","null","5487","null","643","null","28880","null","1228","null","45155","null","1833","null","131726","null","2640","null","100021","null","2401","null","50935","null","1902","null","25855","null","1247","null","21179","1368","null","null","10674","null","928","null",
"0500000US06061","Placer County, California","38820","1011","null","null","37405","null","1032","null","26","null","36","null","115","null","87","null","9","null","15","null","108","70","null","null","248","null","89","null","279","null","138","null","121","null","66","null","154","null","90","null","131","null","69","null","306","null","158","null","308","null","123","null","122","null","77","null","305","null","130","null","322","null","102","null","606","null","190","null","1220","215","null","null","1490","null","274","null","4726","null","470","null","5608","null","559","null","10756","null","767","null","6748","null","652","null","2164","null","365","null","1063","null","257","null","470","149","null","null","1415","null","286","null",
"0500000US06063","Plumas County, California","2255","289","null","null","2052","null","263","null","0","null","21","null","19","null","23","null","0","null","21","null","25","23","null","null","76","null","50","null","67","null","64","null","107","null","96","null","33","null","26","null","70","null","65","null","54","null","75","null","14","null","19","null","47","null","42","null","57","null","54","null","105","null","65","null","161","null","101","null","78","63","null","null","258","null","126","null","478","null","168","null","223","null","128","null","107","null","68","null","39","null","58","null","26","null","33","null","8","null","13","null","0","21","null","null","203","null","115","null",
"0500000US06065","Riverside County, California","239154","3479","null","null","230553","null","3505","null","279","null","118","null","169","null","98","null","322","null","176","null","658","184","null","null","1605","null","306","null","1426","null","341","null","864","null","207","null","1262","null","254","null","1795","null","416","null","2029","null","335","null","2334","null","396","null","2691","null","434","null","2974","null","436","null","4100","null","564","null","4595","null","633","null","11230","848","null","null","11804","null","812","null","37543","null","1538","null","34959","null","1671","null","60205","null","1747","null","29802","null","1548","null","11543","null","1031","null","4262","null","647","null","2102","502","null","null","8601","null","812","null",
"0500000US06067","Sacramento County, California","233285","2690","null","null","226192","null","2698","null","184","null","95","null","301","null","192","null","400","null","176","null","1230","287","null","null","2195","null","413","null","1456","null","351","null","1244","null","246","null","1465","null","309","null","1529","null","330","null","1372","null","333","null","1966","null","380","null","2283","null","378","null","2205","null","379","null","3620","null","439","null","4510","null","502","null","12099","822","null","null","15315","null","1031","null","45314","null","1531","null","43149","null","1660","null","58304","null","1969","null","19342","null","1147","null","4486","null","573","null","1287","null","300","null","936","214","null","null","7093","null","726","null",
"0500000US06069","San Benito County, California","6376","446","null","null","6049","null","430","null","0","null","31","null","12","null","19","null","31","null","37","null","15","25","null","null","74","null","64","null","47","null","72","null","65","null","53","null","63","null","47","null","20","null","20","null","28","null","27","null","26","null","32","null","82","null","65","null","29","null","30","null","128","null","77","null","133","null","82","null","333","134","null","null","253","null","117","null","773","null","218","null","791","null","180","null","1848","null","312","null","880","null","239","null","213","null","96","null","140","null","81","null","65","43","null","null","327","null","135","null",
"0500000US06071","San Bernardino County, California","255316","3516","null","null","246919","null","3443","null","230","null","93","null","269","null","144","null","526","null","185","null","721","230","null","null","2027","null","341","null","1308","null","288","null","1490","null","292","null","1671","null","324","null","2065","null","494","null","2249","null","459","null","2458","null","450","null","3491","null","602","null","4085","null","557","null","4170","null","604","null","6624","null","748","null","13441","828","null","null","16676","null","1073","null","45101","null","1805","null","42303","null","1415","null","60282","null","2087","null","24125","null","1506","null","7908","null","703","null","2459","null","445","null","1240","435","null","null","8397","null","787","null",
"0500000US06073","San Diego County, California","521353","4743","null","null","508535","null","4734","null","784","null","274","null","516","null","195","null","454","null","138","null","1352","268","null","null","4449","null","466","null","2380","null","351","null","2271","null","447","null","1740","null","348","null","2659","null","494","null","2862","null","565","null","2009","null","367","null","2670","null","393","null","2441","null","420","null","3595","null","485","null","3325","null","398","null","8656","848","null","null","14146","null","1101","null","55611","null","1866","null","74215","null","2239","null","146877","null","3121","null","90131","null","2620","null","46247","null","1586","null","22915","null","1581","null","16230","1300","null","null","12818","null","817","null",
"0500000US06075","San Francisco County, California","224462","2522","null","null","219267","null","2412","null","576","null","244","null","458","null","144","null","652","null","205","null","2198","526","null","null","6845","null","779","null","3384","null","616","null","1712","null","350","null","2142","null","465","null","2043","null","321","null","3122","null","495","null","2156","null","366","null","2376","null","354","null","2042","null","335","null","2355","null","445","null","2131","null","357","null","5152","519","null","null","5633","null","632","null","16196","null","1003","null","15728","null","1109","null","32129","null","1641","null","28988","null","1272","null","25956","null","1166","null","22801","null","1140","null","32492","1455","null","null","5195","null","546","null",
"0500000US06077","San Joaquin County, California","97711","1852","null","null","94211","null","1805","null","75","null","56","null","83","null","96","null","112","null","65","null","472","154","null","null","817","null","180","null","632","null","145","null","679","null","199","null","620","null","192","null","716","null","271","null","871","null","168","null","913","null","229","null","1897","null","348","null","1539","null","354","null","2234","null","376","null","2471","null","363","null","6236","534","null","null","7985","null","744","null","16779","null","900","null","13745","null","950","null","21244","null","1109","null","9642","null","1048","null","2845","null","473","null","1162","null","332","null","442","152","null","null","3500","null","421","null",
"0500000US06079","San Luis Obispo County, California","39609","1382","null","null","38004","null","1378","null","15","null","16","null","13","null","14","null","35","null","45","null","123","60","null","null","374","null","157","null","314","null","181","null","177","null","124","null","182","null","109","null","56","null","50","null","418","null","325","null","108","null","69","null","398","null","193","null","415","null","131","null","219","null","112","null","447","null","119","null","1275","389","null","null","2039","null","368","null","5844","null","500","null","5749","null","567","null","11388","null","730","null","4425","null","576","null","2187","null","337","null","997","null","233","null","806","286","null","null","1605","null","287","null",
"0500000US06081","San Mateo County, California","105648","1580","null","null","102797","null","1559","null","119","null","88","null","235","null","120","null","69","null","60","null","285","135","null","null","495","null","189","null","238","null","77","null","263","null","208","null","416","null","145","null","307","null","114","null","181","null","93","null","194","null","86","null","298","null","176","null","241","null","127","null","528","null","198","null","336","null","145","null","681","196","null","null","941","null","250","null","3581","null","493","null","5344","null","620","null","17823","null","1066","null","21623","null","1107","null","16276","null","977","null","14504","null","918","null","17819","923","null","null","2851","null","387","null",
"0500000US06083","Santa Barbara County, California","70805","1397","null","null","68260","null","1402","null","188","null","128","null","213","null","180","null","46","null","37","null","185","77","null","null","578","null","151","null","316","null","117","null","157","null","66","null","403","null","153","null","390","null","158","null","621","null","221","null","253","null","104","null","299","null","124","null","428","null","157","null","701","null","191","null","776","null","229","null","1966","331","null","null","2669","null","493","null","7717","null","721","null","9040","null","735","null","18200","null","993","null","11327","null","953","null","5821","null","589","null","2771","null","454","null","3195","446","null","null","2545","null","436","null",
"0500000US06085","Santa Clara County, California","277086","2830","null","null","270454","null","2751","null","494","null","196","null","294","null","117","null","271","null","99","null","562","230","null","null","1282","null","223","null","1998","null","337","null","1259","null","268","null","1001","null","281","null","1533","null","303","null","1652","null","377","null","748","null","194","null","1584","null","259","null","1293","null","227","null","1289","null","263","null","1046","null","239","null","2692","347","null","null","3377","null","487","null","10355","null","747","null","15002","null","928","null","45205","null","1417","null","54745","null","1573","null","50469","null","1692","null","34245","null","1409","null","38058","1568","null","null","6632","null","600","null",
"0500000US06087","Santa Cruz County, California","38181","1112","null","null","36461","null","1144","null","92","null","67","null","69","null","67","null","163","null","140","null","206","118","null","null","388","null","146","null","228","null","125","null","233","null","113","null","403","null","160","null","237","null","91","null","237","null","131","null","176","null","99","null","483","null","246","null","329","null","112","null","327","null","148","null","339","null","110","null","660","230","null","null","682","null","232","null","3315","null","587","null","3182","null","474","null","9456","null","871","null","7718","null","749","null","3644","null","519","null","2346","null","370","null","1548","351","null","null","1720","null","404","null",
"0500000US06089","Shasta County, California","24607","892","null","null","23779","null","922","null","44","null","42","null","171","null","188","null","50","null","36","null","117","56","null","null","268","null","95","null","268","null","110","null","122","null","62","null","324","null","141","null","235","null","98","null","342","null","127","null","531","null","160","null","772","null","187","null","658","null","177","null","705","null","182","null","878","null","160","null","2114","339","null","null","2730","null","441","null","5191","null","588","null","3463","null","438","null","3196","null","422","null","1124","null","299","null","273","null","132","null","40","null","50","null","163","147","null","null","828","null","187","null",
"0500000US06091","Sierra County, California","333","126","null","null","275","null","95","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","35","null","38","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","26","null","33","null","0","null","13","null","2","null","5","null","43","42","null","null","21","null","20","null","81","null","48","null","12","null","20","null","0","null","13","null","51","null","54","null","4","null","6","null","0","null","13","null","0","13","null","null","58","null","78","null",
"0500000US06093","Siskiyou County, California","6536","384","null","null","6048","null","386","null","6","null","9","null","3","null","5","null","93","null","56","null","71","40","null","null","91","null","70","null","180","null","74","null","83","null","49","null","244","null","106","null","98","null","60","null","251","null","83","null","197","null","81","null","204","null","70","null","349","null","112","null","303","null","117","null","223","null","80","null","808","190","null","null","531","null","133","null","1157","null","217","null","616","null","191","null","378","null","143","null","111","null","118","null","22","null","25","null","29","null","46","null","0","28","null","null","488","null","139","null",
"0500000US06095","Solano County, California","57352","1269","null","null","55044","null","1382","null","67","null","59","null","17","null","26","null","87","null","67","null","188","124","null","null","467","null","191","null","527","null","202","null","314","null","127","null","187","null","93","null","212","null","115","null","162","null","72","null","338","null","196","null","411","null","233","null","259","null","121","null","600","null","171","null","763","null","324","null","1731","364","null","null","1978","null","326","null","6071","null","577","null","7315","null","706","null","15878","null","945","null","10893","null","768","null","4886","null","526","null","1059","null","273","null","634","266","null","null","2308","null","477","null",
"0500000US06097","Sonoma County, California","73113","1772","null","null","69805","null","1723","null","13","null","17","null","98","null","78","null","105","null","63","null","227","136","null","null","932","null","238","null","681","null","367","null","445","null","136","null","443","null","259","null","882","null","370","null","436","null","124","null","404","null","241","null","487","null","187","null","363","null","171","null","511","null","217","null","434","null","143","null","1395","292","null","null","1858","null","400","null","7372","null","672","null","8697","null","714","null","18773","null","1065","null","13686","null","955","null","6684","null","674","null","2832","null","437","null","2047","505","null","null","3308","null","457","null",
