"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06019","Fresno County, California","963160","null","*****","*****","462024","*****","*****","null","296265","480","null","null","45506","null","696","null","4357","null","471","null","93878","1149","null","null","1255","157","null","null","1590","null","535","null","19173","null","1417","null","1388","null","602","null","17785","1302","null","null","501136","*****","*****","null","296854","null","5120","null","2928","610","null","null","5677","null","930","null","1680","null","401","null","613","360","null","null","174900","null","4665","null","18484","1704","null","null","9519","null","1250","null","8965","null","1190","null",
"0500000US06021","Glenn County, California","27976","null","*****","*****","16721","*****","*****","null","14845","20","null","null","195","null","74","null","468","null","103","null","685","134","null","null","103","102","null","null","0","null","22","null","425","null","138","null","12","null","20","null","413","140","null","null","11255","*****","*****","null","8648","null","660","null","0","22","null","null","48","null","43","null","0","null","22","null","26","39","null","null","2318","null","674","null","215","161","null","null","111","null","121","null","104","null","88","null",
"0500000US06023","Humboldt County, California","135182","null","*****","*****","120652","*****","*****","null","101904","202","null","null","1374","null","197","null","6145","null","459","null","3692","252","null","null","331","151","null","null","263","null","170","null","6943","null","660","null","215","null","162","null","6728","648","null","null","14530","*****","*****","null","7874","null","671","null","229","106","null","null","689","null","284","null","47","null","64","null","0","28","null","null","4466","null","617","null","1225","330","null","null","588","null","287","null","637","null","217","null",
"0500000US06025","Imperial County, California","178807","null","*****","*****","30927","*****","*****","null","21334","73","null","null","4195","null","290","null","1151","null","148","null","2227","199","null","null","129","81","null","null","110","null","77","null","1781","null","352","null","142","null","109","null","1639","341","null","null","147880","*****","*****","null","103015","null","2671","null","661","248","null","null","763","null","417","null","331","null","145","null","125","105","null","null","36237","null","2647","null","6748","1134","null","null","4045","null","778","null","2703","null","701","null",
"0500000US06027","Inyo County, California","18326","null","*****","*****","14459","*****","*****","null","11733","14","null","null","179","null","27","null","1969","null","62","null","222","53","null","null","34","4","null","null","9","null","13","null","313","null","71","null","2","null","4","null","311","72","null","null","3867","*****","*****","null","3270","null","202","null","1","2","null","null","123","null","59","null","1","null","4","null","0","19","null","null","363","null","151","null","109","82","null","null","77","null","78","null","32","null","36","null",
"0500000US06029","Kern County, California","871337","null","*****","*****","421590","*****","*****","null","313983","362","null","null","45298","null","930","null","4464","null","486","null","38843","776","null","null","997","183","null","null","855","null","320","null","17150","null","1298","null","1382","null","649","null","15768","1237","null","null","449747","*****","*****","null","333849","null","4693","null","2966","535","null","null","5587","null","1307","null","1245","null","324","null","626","458","null","null","93439","null","4189","null","12035","1227","null","null","7088","null","812","null","4947","null","843","null",
"0500000US06031","Kings County, California","150261","null","*****","*****","70399","*****","*****","null","50536","97","null","null","8917","null","348","null","1163","null","127","null","5422","383","null","null","336","37","null","null","328","null","143","null","3697","null","559","null","176","null","75","null","3521","538","null","null","79862","*****","*****","null","50192","null","1795","null","679","292","null","null","891","null","249","null","278","null","210","null","45","58","null","null","25284","null","1803","null","2493","514","null","null","1146","null","307","null","1347","null","357","null",
"0500000US06033","Lake County, California","64076","null","*****","*****","51990","*****","*****","null","46301","40","null","null","1329","null","157","null","1898","null","236","null","839","142","null","null","68","71","null","null","91","null","83","null","1464","null","297","null","25","null","21","null","1439","297","null","null","12086","*****","*****","null","4190","null","801","null","66","62","null","null","348","null","210","null","33","null","34","null","1","4","null","null","7009","null","854","null","439","224","null","null","246","null","187","null","193","null","115","null",
"0500000US06035","Lassen County, California","31945","null","*****","*****","26065","*****","*****","null","21101","32","null","null","2808","null","41","null","800","null","107","null","533","92","null","null","236","21","null","null","38","null","32","null","549","null","104","null","27","null","28","null","522","102","null","null","5880","*****","*****","null","4360","null","302","null","37","31","null","null","104","null","50","null","2","null","4","null","20","22","null","null","1151","null","268","null","206","59","null","null","185","null","59","null","21","null","29","null",
"0500000US06037","Los Angeles County, California","10057155","null","*****","*****","5195507","*****","*****","null","2687787","1416","null","null","801182","null","2867","null","18765","null","1032","null","1413105","3126","null","null","24439","745","null","null","29351","null","2079","null","220878","null","4218","null","14574","null","1356","null","206304","4134","null","null","4861648","*****","*****","null","2595670","null","16021","null","30131","1932","null","null","43906","null","3038","null","18256","null","1266","null","2371","458","null","null","2000806","null","19256","null","170508","4955","null","null","95893","null","3507","null","74615","null","3053","null",
"0500000US06039","Madera County, California","153366","null","*****","*****","67101","*****","*****","null","54887","128","null","null","4679","null","278","null","1450","null","218","null","2906","244","null","null","132","75","null","null","321","null","177","null","2726","null","499","null","88","null","89","null","2638","487","null","null","86265","*****","*****","null","66259","null","1871","null","423","209","null","null","965","null","336","null","149","null","124","null","47","57","null","null","15608","null","1936","null","2814","752","null","null","2011","null","615","null","803","null","389","null",
"0500000US06041","Marin County, California","259358","null","*****","*****","218415","*****","*****","null","186361","444","null","null","5849","null","409","null","476","null","168","null","14525","462","null","null","381","116","null","null","1809","null","511","null","9014","null","628","null","335","null","187","null","8679","607","null","null","40943","*****","*****","null","18567","null","1441","null","226","177","null","null","321","null","204","null","168","null","81","null","190","181","null","null","18724","null","1478","null","2747","583","null","null","1738","null","469","null","1009","null","297","null",
"0500000US06043","Mariposa County, California","17645","null","*****","*****","15856","*****","*****","null","14381","19","null","null","226","null","138","null","379","null","194","null","224","107","null","null","27","41","null","null","0","null","19","null","619","null","179","null","11","null","19","null","608","176","null","null","1789","*****","*****","null","1161","null","192","null","0","19","null","null","162","null","185","null","0","null","19","null","0","19","null","null","320","null","126","null","146","120","null","null","63","null","61","null","83","null","87","null",
"0500000US06045","Mendocino County, California","87409","null","*****","*****","66454","*****","*****","null","58018","91","null","null","499","null","98","null","2792","null","356","null","1521","162","null","null","185","24","null","null","268","null","130","null","3171","null","408","null","65","null","45","null","3106","405","null","null","20955","*****","*****","null","14329","null","1172","null","65","46","null","null","709","null","388","null","18","null","28","null","0","28","null","null","4481","null","997","null","1353","385","null","null","664","null","259","null","689","null","299","null",
