"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06019","Fresno County, California","1003150","*****","*****","null","461806","null","*****","*****","279940","677","null","null","42525","1301","null","null","4340","564","null","null","104266","1215","null","null","1561","222","null","null","2945","840","null","null","26229","null","1994","null","2733","712","null","null","23496","1861","null","null","541344","*****","*****","null","264693","6124","null","null","2757","545","null","null","7708","null","1312","null","2687","709","null","null","126","null","89","null","156112","null","5477","null","107261","4886","null","null","93402","4948","null","null","13859","1435","null","null",
"0500000US06021","Glenn County, California","28675","*****","*****","null","16380","null","*****","*****","14365","69","null","null","117","58","null","null","348","82","null","null","996","172","null","null","36","41","null","null","42","40","null","null","476","null","155","null","36","55","null","null","440","139","null","null","12295","*****","*****","null","7131","893","null","null","51","59","null","null","342","null","228","null","0","25","null","null","0","null","25","null","3776","null","887","null","995","386","null","null","840","369","null","null","155","119","null","null",
"0500000US06023","Humboldt County, California","137014","*****","*****","null","120137","null","*****","*****","98786","604","null","null","1488","210","null","null","5192","476","null","null","4194","348","null","null","384","148","null","null","658","249","null","null","9435","null","903","null","1442","568","null","null","7993","716","null","null","16877","*****","*****","null","5752","792","null","null","252","167","null","null","639","null","287","null","138","101","null","null","64","null","75","null","6110","null","878","null","3922","808","null","null","2668","745","null","null","1254","485","null","null",
"0500000US06025","Imperial County, California","180051","*****","*****","null","26833","null","*****","*****","17510","171","null","null","4447","220","null","null","1283","120","null","null","2232","210","null","null","102","67","null","null","146","111","null","null","1113","null","307","null","118","122","null","null","995","301","null","null","153218","*****","*****","null","68966","2920","null","null","442","200","null","null","1255","null","600","null","293","163","null","null","64","null","93","null","56455","null","2739","null","25743","2817","null","null","23438","2547","null","null","2305","1434","null","null",
"0500000US06027","Inyo County, California","18804","*****","*****","null","14352","null","*****","*****","11253","115","null","null","72","35","null","null","1756","153","null","null","286","49","null","null","23","17","null","null","39","33","null","null","923","null","191","null","136","102","null","null","787","167","null","null","4452","*****","*****","null","2661","393","null","null","16","24","null","null","351","null","150","null","12","22","null","null","0","null","21","null","550","null","216","null","862","319","null","null","596","225","null","null","266","224","null","null",
"0500000US06029","Kern County, California","905644","*****","*****","null","409902","null","*****","*****","291410","1232","null","null","45929","1141","null","null","3998","538","null","null","42216","1118","null","null","1065","136","null","null","2994","1181","null","null","22290","null","1771","null","2591","695","null","null","19699","1652","null","null","495742","*****","*****","null","272773","5836","null","null","2812","738","null","null","4844","null","920","null","1596","487","null","null","149","null","92","null","121574","null","5614","null","91994","4475","null","null","82392","4596","null","null","9602","1638","null","null",
"0500000US06031","Kings County, California","151887","*****","*****","null","67518","null","*****","*****","46860","183","null","null","9188","417","null","null","1228","162","null","null","5687","331","null","null","256","96","null","null","233","144","null","null","4066","null","541","null","157","120","null","null","3909","522","null","null","84369","*****","*****","null","39511","2083","null","null","831","409","null","null","1036","null","322","null","181","107","null","null","88","null","88","null","28404","null","2180","null","14318","1919","null","null","12849","1811","null","null","1469","458","null","null",
"0500000US06033","Lake County, California","67749","*****","*****","null","52699","null","*****","*****","45945","356","null","null","1530","161","null","null","1768","249","null","null","922","181","null","null","157","90","null","null","166","126","null","null","2211","null","487","null","465","347","null","null","1746","373","null","null","15050","*****","*****","null","3528","744","null","null","90","78","null","null","509","null","260","null","43","79","null","null","0","null","31","null","8119","null","1045","null","2761","702","null","null","1810","541","null","null","951","383","null","null",
"0500000US06035","Lassen County, California","32949","*****","*****","null","26455","null","*****","*****","21139","100","null","null","2748","111","null","null","750","121","null","null","513","81","null","null","250","98","null","null","137","97","null","null","918","null","220","null","119","102","null","null","799","178","null","null","6494","*****","*****","null","3794","297","null","null","76","94","null","null","91","null","76","null","1","3","null","null","0","null","28","null","765","null","332","null","1767","392","null","null","1650","397","null","null","117","73","null","null",
"0500000US06037","Los Angeles County, California","10019635","*****","*****","null","5141016","null","*****","*****","2550832","3019","null","null","766190","3654","null","null","19571","1218","null","null","1458140","4475","null","null","21433","901","null","null","43451","2941","null","null","281399","null","5530","null","32652","2468","null","null","248747","4970","null","null","4878619","*****","*****","null","1831247","15708","null","null","29023","1818","null","null","79753","null","3889","null","20421","1820","null","null","2950","null","618","null","2158488","null","18277","null","756737","13765","null","null","663549","13537","null","null","93188","3534","null","null",
"0500000US06039","Madera County, California","156304","*****","*****","null","63904","null","*****","*****","50655","225","null","null","4395","460","null","null","1366","237","null","null","3354","225","null","null","111","74","null","null","457","233","null","null","3566","null","615","null","491","214","null","null","3075","607","null","null","92400","*****","*****","null","35291","2518","null","null","250","181","null","null","789","null","314","null","205","151","null","null","25","null","40","null","41903","null","2821","null","13937","2235","null","null","11556","1956","null","null","2381","1043","null","null",
"0500000US06041","Marin County, California","262387","*****","*****","null","219344","null","*****","*****","182830","657","null","null","5508","482","null","null","274","131","null","null","15693","573","null","null","423","129","null","null","2596","633","null","null","12020","null","934","null","1693","465","null","null","10327","757","null","null","43043","*****","*****","null","14792","1559","null","null","485","383","null","null","724","null","416","null","198","105","null","null","0","null","31","null","18452","null","1743","null","8392","1292","null","null","6296","1206","null","null","2096","584","null","null",
"0500000US06043","Mariposa County, California","17225","*****","*****","null","15088","null","*****","*****","13415","160","null","null","142","92","null","null","435","157","null","null","178","69","null","null","50","49","null","null","138","150","null","null","730","null","163","null","45","57","null","null","685","158","null","null","2137","*****","*****","null","1359","241","null","null","7","12","null","null","24","null","25","null","8","14","null","null","0","null","21","null","455","null","176","null","284","128","null","null","60","52","null","null","224","129","null","null",
"0500000US06045","Mendocino County, California","91534","*****","*****","null","67466","null","*****","*****","58074","364","null","null","554","210","null","null","2779","330","null","null","1969","129","null","null","124","54","null","null","490","293","null","null","3476","null","390","null","223","138","null","null","3253","389","null","null","24068","*****","*****","null","12727","1192","null","null","81","95","null","null","915","null","359","null","50","57","null","null","0","null","31","null","5569","null","1179","null","4726","896","null","null","3846","871","null","null","880","243","null","null",
"0500000US06047","Merced County, California","279150","*****","*****","null","108420","null","*****","*****","72416","195","null","null","7405","469","null","null","893","199","null","null","20418","461","null","null","749","77","null","null","514","203","null","null","6025","null","696","null","568","208","null","null","5457","673","null","null","170730","*****","*****","null","56481","3437","null","null","652","238","null","null","2374","null","843","null","527","235","null","null","48","null","51","null","93464","null","3445","null","17184","2428","null","null","15115","2264","null","null","2069","606","null","null",
"0500000US06049","Modoc County, California","8723","*****","*****","null","7401","null","*****","*****","6686","7","null","null","172","26","null","null","297","104","null","null","67","94","null","null","0","19","null","null","0","19","null","null","179","null","89","null","41","42","null","null","138","75","null","null","1322","*****","*****","null","730","193","null","null","0","19","null","null","12","null","21","null","0","19","null","null","0","null","19","null","448","null","167","null","132","116","null","null","82","72","null","null","50","64","null","null",
"0500000US06051","Mono County, California","13291","*****","*****","null","9663","null","*****","*****","8518","195","null","null","3","6","null","null","103","66","null","null","608","48","null","null","0","21","null","null","147","195","null","null","284","null","85","null","3","5","null","null","281","83","null","null","3628","*****","*****","null","2159","511","null","null","15","26","null","null","119","null","143","null","5","7","null","null","0","null","21","null","639","null","412","null","691","395","null","null","232","224","null","null","459","340","null","null",
"0500000US06053","Monterey County, California","438953","*****","*****","null","176992","null","*****","*****","126356","359","null","null","10124","523","null","null","686","219","null","null","24534","776","null","null","1794","180","null","null","1020","373","null","null","12478","null","836","null","1032","301","null","null","11446","784","null","null","261961","*****","*****","null","63792","3437","null","null","814","308","null","null","2498","null","716","null","1086","366","null","null","229","null","282","null","167608","null","3822","null","25934","2731","null","null","22089","2720","null","null","3845","710","null","null",
"0500000US06055","Napa County, California","138795","*****","*****","null","90597","null","*****","*****","70719","424","null","null","2750","223","null","null","327","134","null","null","10661","392","null","null","296","147","null","null","532","248","null","null","5312","null","567","null","706","365","null","null","4606","496","null","null","48198","*****","*****","null","22208","1845","null","null","101","66","null","null","781","null","277","null","125","76","null","null","6","null","10","null","16875","null","1853","null","8102","1244","null","null","6753","1201","null","null","1349","371","null","null",
"0500000US06057","Nevada County, California","102090","*****","*****","null","92098","null","*****","*****","85552","341","null","null","381","132","null","null","373","162","null","null","1161","223","null","null","148","73","null","null","219","134","null","null","4264","null","416","null","730","330","null","null","3534","326","null","null","9992","*****","*****","null","6841","825","null","null","46","67","null","null","127","null","95","null","40","107","null","null","0","null","31","null","1012","null","400","null","1926","607","null","null","1373","481","null","null","553","273","null","null",
"0500000US06059","Orange County, California","3182923","*****","*****","null","2099830","null","*****","*****","1242725","1678","null","null","50161","1313","null","null","4423","560","null","null","672015","3138","null","null","8073","561","null","null","9744","1217","null","null","112689","null","3436","null","13027","1501","null","null","99662","3192","null","null","1083093","*****","*****","null","464867","7891","null","null","4914","815","null","null","14158","null","1780","null","6421","837","null","null","1065","null","299","null","402268","null","8415","null","189400","6662","null","null","160293","6364","null","null","29107","2675","null","null",
"0500000US06061","Placer County, California","400330","*****","*****","null","341695","null","*****","*****","281400","732","null","null","6197","470","null","null","1198","232","null","null","33652","819","null","null","531","110","null","null","1413","498","null","null","17304","null","1032","null","2294","568","null","null","15010","968","null","null","58635","*****","*****","null","30191","1584","null","null","218","118","null","null","754","null","272","null","359","140","null","null","270","null","307","null","12119","null","1357","null","14724","1312","null","null","10158","1267","null","null","4566","689","null","null",
