"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06091","Sierra County, California","2898","null","172","null","2605","null","127","null","2561","null","120","null","3","5","null","null","25","null","29","null","0","null","13","null","0","13","null","null","0","null","13","null","16","null","15","null","0","null","13","null","16","null","15","null","293","110","null","null","161","null","91","null","0","null","13","null","44","null","57","null","0","13","null","null","0","null","13","null","88","null","103","null","0","null","13","null","0","13","null","null","0","13","null","null",
"0500000US06093","Siskiyou County, California","43516","null","*****","*****","37911","null","*****","*****","32878","null","52","null","641","95","null","null","1488","null","191","null","537","null","120","null","138","57","null","null","32","null","37","null","2197","null","254","null","44","null","36","null","2153","null","251","null","5605","*****","*****","null","3317","null","322","null","27","null","31","null","198","null","84","null","10","13","null","null","22","null","31","null","794","null","197","null","1237","null","225","null","661","155","null","null","576","182","null","null",
"0500000US06095","Solano County, California","444538","null","*****","*****","325244","null","*****","*****","165326","null","450","null","59249","1204","null","null","1497","null","326","null","67107","null","1286","null","3884","260","null","null","2687","null","817","null","25494","null","1720","null","800","null","262","null","24694","null","1688","null","119294","*****","*****","null","59932","null","2492","null","1742","null","460","null","1034","null","406","null","2062","443","null","null","328","null","163","null","38351","null","2540","null","15845","null","1491","null","9357","1366","null","null","6488","984","null","null",
"0500000US06097","Sonoma County, California","496801","null","*****","*****","362777","null","*****","*****","310607","null","871","null","7380","496","null","null","2214","null","429","null","20733","null","753","null","1481","246","null","null","2487","null","651","null","17875","null","1411","null","1711","null","824","null","16164","null","1038","null","134024","*****","*****","null","49593","null","2787","null","886","null","395","null","2227","null","588","null","506","237","null","null","133","null","105","null","63602","null","3235","null","17077","null","2060","null","12391","1831","null","null","4686","851","null","null",
"0500000US06099","Stanislaus County, California","546235","null","*****","*****","289811","null","*****","*****","222962","null","261","null","15869","531","null","null","2241","null","440","null","31044","null","793","null","3012","384","null","null","1164","null","513","null","13519","null","1032","null","1279","null","380","null","12240","null","1017","null","256424","*****","*****","null","161741","null","3094","null","1092","null","366","null","2497","null","640","null","959","338","null","null","254","null","148","null","55808","null","3739","null","34073","null","2453","null","28503","2554","null","null","5570","1298","null","null",
"0500000US06101","Sutter County, California","96315","null","*****","*****","66214","null","*****","*****","43635","null","111","null","1734","195","null","null","867","null","136","null","15815","null","489","null","362","23","null","null","167","null","143","null","3634","null","521","null","144","null","125","null","3490","null","530","null","30101","*****","*****","null","17672","null","1107","null","160","null","121","null","194","null","105","null","182","103","null","null","226","null","275","null","5783","null","1115","null","5884","null","918","null","3927","795","null","null","1957","577","null","null",
"0500000US06103","Tehama County, California","64176","null","*****","*****","47741","null","*****","*****","43273","null","143","null","378","98","null","null","688","null","183","null","1090","null","100","null","9","11","null","null","16","null","23","null","2287","null","275","null","125","null","143","null","2162","null","238","null","16435","*****","*****","null","10714","null","969","null","42","null","85","null","177","null","161","null","0","31","null","null","9","null","11","null","3328","null","900","null","2165","null","791","null","1824","744","null","null","341","192","null","null",
"0500000US06105","Trinity County, California","12541","null","*****","*****","11608","null","*****","*****","10073","null","186","null","65","39","null","null","691","null","163","null","244","null","23","null","35","49","null","null","210","null","187","null","290","null","143","null","0","null","21","null","290","null","143","null","933","*****","*****","null","621","null","83","null","0","null","21","null","31","null","37","null","0","21","null","null","0","null","21","null","239","null","92","null","42","null","49","null","42","49","null","null","0","21","null","null",
"0500000US06107","Tulare County, California","463955","null","*****","*****","162036","null","*****","*****","128751","null","829","null","5923","395","null","null","2592","null","316","null","15857","null","498","null","528","120","null","null","1472","null","865","null","6913","null","804","null","455","null","182","null","6458","null","763","null","301919","*****","*****","null","181047","null","4855","null","1683","null","594","null","3363","null","845","null","1453","810","null","null","90","null","82","null","84036","null","4724","null","30247","null","3406","null","26434","3166","null","null","3813","747","null","null",
"0500000US06109","Tuolumne County, California","54147","null","*****","*****","47337","null","*****","*****","43139","null","90","null","979","117","null","null","765","null","149","null","730","null","118","null","146","29","null","null","102","null","98","null","1476","null","186","null","20","null","24","null","1456","null","188","null","6810","*****","*****","null","3766","null","436","null","28","null","27","null","183","null","84","null","23","23","null","null","0","null","31","null","1497","null","324","null","1313","null","341","null","788","275","null","null","525","224","null","null",
"0500000US06111","Ventura County, California","845599","null","*****","*****","483951","null","*****","*****","379971","null","596","null","14321","611","null","null","1847","null","311","null","59761","null","1174","null","1655","158","null","null","1704","null","421","null","24692","null","1367","null","1360","null","432","null","23332","null","1321","null","361648","*****","*****","null","257715","null","4000","null","1101","null","319","null","5143","null","1111","null","1478","393","null","null","288","null","133","null","48721","null","3182","null","47202","null","3059","null","36892","3086","null","null","10310","1318","null","null",
"0500000US06113","Yolo County, California","218774","null","*****","*****","149433","null","*****","*****","100258","null","463","null","5137","386","null","null","768","null","216","null","31237","null","787","null","928","155","null","null","615","null","286","null","10490","null","982","null","709","null","346","null","9781","null","894","null","69341","*****","*****","null","45041","null","1709","null","557","null","354","null","652","null","286","null","347","183","null","null","90","null","83","null","11818","null","1640","null","10836","null","1265","null","7203","1229","null","null","3633","861","null","null",
"0500000US06115","Yuba County, California","77524","null","*****","*****","55206","null","*****","*****","41849","null","158","null","2533","311","null","null","596","null","196","null","5134","null","314","null","296","54","null","null","134","null","120","null","4664","null","543","null","236","null","152","null","4428","null","522","null","22318","*****","*****","null","15141","null","825","null","99","null","99","null","434","null","171","null","497","485","null","null","14","null","25","null","3236","null","724","null","2897","null","618","null","1686","595","null","null","1211","434","null","null",
