"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009M","B03002_009MA","B03002_009EA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06059","Orange County, California","2989948","null","*****","*****","1995669","null","*****","*****","1339135","null","1029","null","45836","866","null","null","6902","null","632","null","528429","null","1839","null","8736","null","617","null","7950","null","1257","null","58681","2293","null","null","3689","587","null","null","54992","null","2197","null","994279","null","*****","*****","513834","null","9004","null","3677","601","null","null","5646","904","null","null","4070","null","631","null","595","null","271","null","437851","null","9666","null","28606","null","2152","null","18468","1529","null","null","10138","1151","null","null",
"0500000US06061","Placer County, California","343554","null","*****","*****","300286","null","*****","*****","262970","null","277","null","4297","313","null","null","2173","null","362","null","20048","null","720","null","637","null","136","null","773","null","243","null","9388","978","null","null","224","166","null","null","9164","null","946","null","43268","null","*****","*****","27953","null","1347","null","290","227","null","null","481","221","null","null","467","null","180","null","113","null","86","null","10705","null","1298","null","3259","null","595","null","2124","513","null","null","1135","347","null","null",
"0500000US06063","Plumas County, California","20192","null","*****","*****","18575","null","*****","*****","17254","null","95","null","253","19","null","null","516","null","161","null","208","null","28","null","18","null","34","null","0","null","95","null","326","153","null","null","0","95","null","null","326","null","153","null","1617","null","*****","*****","1213","null","209","null","21","35","null","null","43","47","null","null","0","null","95","null","0","null","95","null","180","null","158","null","160","null","152","null","36","44","null","null","124","148","null","null",
"0500000US06065","Riverside County, California","2154844","null","*****","*****","1186144","null","*****","*****","867229","null","1082","null","128231","1527","null","null","10416","null","813","null","124152","null","1368","null","6144","null","421","null","6075","null","1198","null","43897","2403","null","null","2389","496","null","null","41508","null","2302","null","968700","null","*****","*****","555375","null","8245","null","7628","1183","null","null","11077","1558","null","null","3370","null","633","null","811","null","345","null","353437","null","7898","null","37002","null","2021","null","23649","1534","null","null","13353","1579","null","null",
"0500000US06067","Sacramento County, California","1408480","null","*****","*****","1109771","null","*****","*****","690766","null","680","null","139399","1609","null","null","8240","null","584","null","199123","null","1811","null","13440","null","418","null","4313","null","794","null","54490","2442","null","null","2400","445","null","null","52090","null","2417","null","298709","null","*****","*****","154345","null","3843","null","4619","737","null","null","4779","778","null","null","2643","null","579","null","472","null","233","null","107274","null","3789","null","24577","null","1742","null","12367","1152","null","null","12210","1336","null","null",
"0500000US06069","San Benito County, California","54873","null","*****","*****","24376","null","*****","*****","21175","null","164","null","490","35","null","null","215","null","79","null","1289","null","207","null","0","null","95","null","184","null","163","null","1023","228","null","null","130","100","null","null","893","null","235","null","30497","null","*****","*****","20645","null","1431","null","238","155","null","null","478","257","null","null","47","null","42","null","0","null","95","null","7719","null","1449","null","1370","null","419","null","763","316","null","null","607","237","null","null",
"0500000US06071","San Bernardino County, California","2023452","null","*****","*****","1039430","null","*****","*****","685741","null","808","null","168190","1783","null","null","7889","null","690","null","123415","null","1299","null","5658","null","370","null","4884","null","759","null","43653","2452","null","null","2303","533","null","null","41350","null","2344","null","984022","null","*****","*****","554487","null","7471","null","8019","1341","null","null","12873","1645","null","null","3576","null","699","null","326","null","225","null","359352","null","7681","null","45389","null","2878","null","26716","2201","null","null","18673","2030","null","null",
"0500000US06073","San Diego County, California","3060849","null","*****","*****","2092991","null","*****","*****","1500123","null","959","null","146379","1390","null","null","10906","null","741","null","326884","null","2218","null","12903","null","780","null","6362","null","966","null","89434","2835","null","null","3986","497","null","null","85448","null","2794","null","967858","null","*****","*****","682481","null","7841","null","7697","1041","null","null","9691","1204","null","null","6430","null","839","null","1363","null","454","null","213638","null","6844","null","46558","null","2158","null","23887","1533","null","null","22671","1814","null","null",
"0500000US06075","San Francisco County, California","797983","null","*****","*****","678954","null","*****","*****","334808","null","429","null","47345","666","null","null","2064","null","271","null","265685","null","1225","null","3234","null","149","null","2895","null","522","null","22923","1367","null","null","790","240","null","null","22133","null","1310","null","119029","null","*****","*****","74049","null","2478","null","1915","626","null","null","1669","553","null","null","1604","null","402","null","43","null","49","null","32477","null","2247","null","7272","null","854","null","3633","599","null","null","3639","538","null","null",
"0500000US06077","San Joaquin County, California","680277","null","*****","*****","419641","null","*****","*****","248594","null","356","null","46907","837","null","null","3043","null","343","null","95230","null","1062","null","3229","null","228","null","1162","null","477","null","21476","1424","null","null","961","340","null","null","20515","null","1427","null","260636","null","*****","*****","154631","null","3495","null","3493","807","null","null","3739","795","null","null","2672","null","557","null","198","null","151","null","77655","null","3389","null","18248","null","1393","null","8918","1045","null","null","9330","1128","null","null",
"0500000US06079","San Luis Obispo County, California","267871","null","*****","*****","213334","null","*****","*****","191177","null","320","null","5625","269","null","null","1436","null","233","null","8433","null","424","null","277","null","168","null","587","null","332","null","5799","579","null","null","229","142","null","null","5570","null","566","null","54537","null","*****","*****","33623","null","1947","null","257","190","null","null","1189","481","null","null","260","null","139","null","3","null","11","null","16079","null","1840","null","3126","null","691","null","1670","436","null","null","1456","507","null","null",
"0500000US06081","San Mateo County, California","711622","null","*****","*****","534619","null","*****","*****","306965","null","416","null","19352","575","null","null","1214","null","219","null","173062","null","914","null","10403","null","229","null","2246","null","564","null","21377","1015","null","null","1119","325","null","null","20258","null","1004","null","177003","null","*****","*****","117254","null","3126","null","1155","404","null","null","1255","412","null","null","2036","null","560","null","153","null","110","null","45510","null","2831","null","9640","null","1102","null","5487","672","null","null","4153","844","null","null",
"0500000US06083","Santa Barbara County, California","419793","null","*****","*****","244101","null","*****","*****","205066","null","242","null","6995","378","null","null","2234","null","239","null","20063","null","466","null","749","null","92","null","653","null","233","null","8341","674","null","null","256","131","null","null","8085","null","646","null","175692","null","*****","*****","115517","null","3327","null","757","248","null","null","1957","454","null","null","842","null","370","null","131","null","111","null","49468","null","3251","null","7020","null","940","null","3796","631","null","null","3224","570","null","null",
"0500000US06085","Santa Clara County, California","1762754","null","*****","*****","1294492","null","*****","*****","632114","null","513","null","41881","713","null","null","4443","null","476","null","555773","null","1696","null","5990","null","361","null","4916","null","744","null","49375","1901","null","null","3512","614","null","null","45863","null","1820","null","468262","null","*****","*****","264823","null","5168","null","3338","700","null","null","5463","849","null","null","4589","null","874","null","455","null","177","null","166166","null","5128","null","23428","null","1814","null","13293","1068","null","null","10135","1225","null","null",
"0500000US06087","Santa Cruz County, California","259402","null","*****","*****","177895","null","*****","*****","156125","null","248","null","2472","214","null","null","747","null","203","null","10321","null","467","null","363","null","95","null","628","null","220","null","7239","572","null","null","212","115","null","null","7027","null","550","null","81507","null","*****","*****","58106","null","1833","null","86","52","null","null","490","279","null","null","495","null","225","null","27","null","26","null","19441","null","1702","null","2862","null","559","null","1641","323","null","null","1221","399","null","null",
"0500000US06089","Shasta County, California","177231","null","*****","*****","162609","null","*****","*****","146558","null","140","null","1610","127","null","null","3571","null","537","null","4483","null","300","null","269","null","46","null","140","null","136","null","5978","644","null","null","38","35","null","null","5940","null","642","null","14622","null","*****","*****","9233","null","812","null","40","46","null","null","284","143","null","null","126","null","129","null","17","null","28","null","3210","null","729","null","1712","null","397","null","1010","315","null","null","702","227","null","null",
