"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009M","B03002_009MA","B03002_009EA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06055","Napa County, California","140295","*****","*****","null","93606","null","*****","*****","76016","193","null","null","2844","166","null","null","270","146","null","null","10611","262","null","null","271","null","144","null","465","187","null","null","3129","350","null","null","208","102","null","null","2921","357","null","null","46689","*****","*****","null","27898","null","1571","null","100","62","null","null","717","464","null","null","206","124","null","null","17","20","null","null","15746","null","1439","null","2005","573","null","null","1174","360","null","null","831","428","null","null",
"0500000US06057","Nevada County, California","98570","*****","*****","null","89668","null","*****","*****","84497","130","null","null","462","130","null","null","924","201","null","null","1408","183","null","null","71","null","56","null","107","104","null","null","2199","273","null","null","87","64","null","null","2112","265","null","null","8902","*****","*****","null","6551","null","666","null","19","28","null","null","182","215","null","null","7","17","null","null","15","16","null","null","1574","null","612","null","554","214","null","null","351","190","null","null","203","92","null","null",
"0500000US06059","Orange County, California","3116069","*****","*****","null","2051570","null","*****","*****","1320050","875","null","null","48196","1144","null","null","6368","686","null","null","586050","2407","null","null","8945","null","534","null","5127","897","null","null","76834","2758","null","null","3143","533","null","null","73691","2730","null","null","1064499","*****","*****","null","649950","null","6813","null","3620","614","null","null","6108","917","null","null","4292","530","null","null","584","223","null","null","363093","null","7206","null","36852","2067","null","null","20924","1445","null","null","15928","1469","null","null",
"0500000US06061","Placer County, California","366280","*****","*****","null","317122","null","*****","*****","272814","255","null","null","4978","360","null","null","1358","225","null","null","23980","623","null","null","497","null","158","null","461","208","null","null","13034","717","null","null","452","196","null","null","12582","687","null","null","49158","*****","*****","null","33557","null","1454","null","205","103","null","null","624","271","null","null","488","236","null","null","28","43","null","null","10229","null","1235","null","4027","660","null","null","1980","499","null","null","2047","437","null","null",
"0500000US06063","Plumas County, California","18966","*****","*****","null","17392","null","*****","*****","15993","19","null","null","124","76","null","null","342","132","null","null","178","55","null","null","167","null","149","null","0","19","null","null","588","143","null","null","0","19","null","null","588","143","null","null","1574","*****","*****","null","1099","null","192","null","0","19","null","null","65","42","null","null","0","19","null","null","0","19","null","null","279","null","136","null","131","99","null","null","49","55","null","null","82","74","null","null",
"0500000US06065","Riverside County, California","2298032","*****","*****","null","1218254","null","*****","*****","867646","792","null","null","136414","1597","null","null","10216","751","null","null","138736","1911","null","null","5971","null","445","null","3476","817","null","null","55795","2881","null","null","3120","657","null","null","52675","2773","null","null","1079778","*****","*****","null","617122","null","6924","null","7562","1045","null","null","11319","1265","null","null","3400","532","null","null","630","191","null","null","397676","null","7433","null","42069","2820","null","null","24543","2167","null","null","17526","1711","null","null",
"0500000US06067","Sacramento County, California","1465832","*****","*****","null","1139090","null","*****","*****","686399","1020","null","null","140253","1808","null","null","6469","608","null","null","216772","1791","null","null","14645","null","592","null","4999","1194","null","null","69553","2534","null","null","3541","799","null","null","66012","2318","null","null","326742","*****","*****","null","187043","null","3692","null","5706","888","null","null","5164","839","null","null","3713","562","null","null","503","209","null","null","95946","null","3688","null","28667","1846","null","null","12749","1204","null","null","15918","1461","null","null",
"0500000US06069","San Benito County, California","57557","*****","*****","null","24250","null","*****","*****","21092","4","null","null","406","95","null","null","195","89","null","null","1441","135","null","null","54","null","38","null","68","76","null","null","994","181","null","null","61","87","null","null","933","168","null","null","33307","*****","*****","null","27562","null","731","null","43","45","null","null","235","142","null","null","92","68","null","null","18","30","null","null","3926","null","581","null","1431","420","null","null","811","364","null","null","620","247","null","null",
"0500000US06071","San Bernardino County, California","2094769","*****","*****","null","1024507","null","*****","*****","652920","446","null","null","169547","1909","null","null","7616","813","null","null","136830","1392","null","null","6611","null","361","null","3855","665","null","null","47128","2362","null","null","2156","545","null","null","44972","2272","null","null","1070262","*****","*****","null","649064","null","9083","null","9540","1283","null","null","10230","1295","null","null","3064","565","null","null","544","292","null","null","353067","null","8423","null","44753","3054","null","null","23942","2149","null","null","20811","2050","null","null",
"0500000US06073","San Diego County, California","3223096","*****","*****","null","2162101","null","*****","*****","1515316","919","null","null","153024","1799","null","null","11698","860","null","null","362467","2582","null","null","13484","null","630","null","5615","1083","null","null","100497","3340","null","null","3249","617","null","null","97248","3121","null","null","1060995","*****","*****","null","768302","null","7409","null","10252","1155","null","null","9539","1494","null","null","6585","1068","null","null","814","258","null","null","210568","null","6206","null","54935","2768","null","null","25452","1921","null","null","29483","1921","null","null",
"0500000US06075","San Francisco County, California","840763","*****","*****","null","712144","null","*****","*****","346732","480","null","null","44879","753","null","null","1520","268","null","null","281896","1176","null","null","3370","null","222","null","3941","764","null","null","29806","1450","null","null","1076","268","null","null","28730","1375","null","null","128619","*****","*****","null","62949","null","2636","null","1946","589","null","null","1334","411","null","null","2530","585","null","null","279","132","null","null","50447","null","2849","null","9134","866","null","null","4909","591","null","null","4225","574","null","null",
