"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06039","Madera County, California","155013","*****","*****","null","66207","*****","*****","null","53531","186","null","null","4835","null","265","null","1504","null","237","null","3047","228","null","null","136","null","89","null","443","227","null","null","2711","null","456","null","211","126","null","null","2500","null","423","null","88806","*****","*****","null","58090","null","2482","null","191","123","null","null","1001","null","411","null","247","null","180","null","33","null","50","null","26501","null","2379","null","2743","null","699","null","2048","648","null","null","695","null","311","null",
"0500000US06041","Marin County, California","260295","*****","*****","null","218960","*****","*****","null","185809","544","null","null","5597","null","508","null","435","null","150","null","14815","486","null","null","292","null","133","null","2453","500","null","null","9559","null","643","null","277","170","null","null","9282","null","632","null","41335","*****","*****","null","17533","null","1486","null","112","108","null","null","302","null","201","null","185","null","85","null","292","null","317","null","19809","null","1589","null","3102","null","631","null","1590","468","null","null","1512","null","485","null",
"0500000US06043","Mariposa County, California","17540","*****","*****","null","15631","*****","*****","null","14125","31","null","null","166","null","111","null","390","null","175","null","243","95","null","null","54","null","48","null","20","29","null","null","633","null","194","null","6","11","null","null","627","null","193","null","1909","*****","*****","null","1454","null","140","null","0","19","null","null","7","null","11","null","0","null","19","null","0","null","19","null","376","null","120","null","72","null","61","null","23","23","null","null","49","null","57","null",
"0500000US06045","Mendocino County, California","87422","*****","*****","null","65743","*****","*****","null","57314","43","null","null","511","null","135","null","2839","null","304","null","1667","160","null","null","170","null","36","null","180","137","null","null","3062","null","349","null","25","29","null","null","3037","null","349","null","21679","*****","*****","null","15807","null","900","null","20","24","null","null","752","null","362","null","22","null","26","null","0","null","29","null","3840","null","800","null","1238","null","338","null","252","142","null","null","986","null","306","null",
"0500000US06047","Merced County, California","269075","*****","*****","null","110581","*****","*****","null","76008","200","null","null","8038","null","371","null","840","null","208","null","19487","630","null","null","556","null","196","null","501","250","null","null","5151","null","663","null","164","85","null","null","4987","null","671","null","158494","*****","*****","null","78368","null","3079","null","734","375","null","null","1148","null","509","null","644","null","309","null","67","null","46","null","71651","null","3005","null","5882","null","970","null","4013","811","null","null","1869","null","482","null",
"0500000US06049","Modoc County, California","8938","*****","*****","null","7646","*****","*****","null","6962","6","null","null","149","null","97","null","291","null","109","null","130","118","null","null","6","null","7","null","4","6","null","null","104","null","58","null","8","16","null","null","96","null","57","null","1292","*****","*****","null","1084","null","135","null","0","17","null","null","7","null","10","null","10","null","16","null","0","null","17","null","48","null","38","null","143","null","116","null","50","49","null","null","93","null","95","null",
"0500000US06051","Mono County, California","14174","*****","*****","null","10308","*****","*****","null","9234","121","null","null","40","null","47","null","342","null","22","null","336","223","null","null","0","null","19","null","80","121","null","null","276","null","227","null","0","19","null","null","276","null","227","null","3866","*****","*****","null","2783","null","522","null","65","75","null","null","185","null","158","null","3","null","5","null","0","null","19","null","721","null","414","null","109","null","115","null","70","102","null","null","39","null","54","null",
"0500000US06053","Monterey County, California","433212","*****","*****","null","180624","*****","*****","null","131238","201","null","null","10606","null","438","null","1046","null","215","null","23647","683","null","null","1963","null","135","null","530","246","null","null","11594","null","862","null","136","64","null","null","11458","null","865","null","252588","*****","*****","null","125471","null","4069","null","594","207","null","null","2175","null","646","null","695","null","236","null","48","null","38","null","116856","null","4087","null","6749","null","1009","null","3563","641","null","null","3186","null","624","null",
"0500000US06055","Napa County, California","140530","*****","*****","null","92843","*****","*****","null","74159","238","null","null","2764","null","204","null","326","null","141","null","11210","236","null","null","264","null","96","null","516","221","null","null","3604","null","384","null","220","111","null","null","3384","null","375","null","47687","*****","*****","null","28552","null","1429","null","103","72","null","null","872","null","402","null","163","null","110","null","8","null","14","null","16222","null","1414","null","1767","null","410","null","944","321","null","null","823","null","319","null",
"0500000US06057","Nevada County, California","99092","*****","*****","null","89811","*****","*****","null","84470","147","null","null","601","null","119","null","570","null","252","null","989","223","null","null","154","null","99","null","130","133","null","null","2897","null","338","null","85","60","null","null","2812","null","329","null","9281","*****","*****","null","7109","null","624","null","54","70","null","null","294","null","237","null","19","null","29","null","0","null","29","null","1249","null","458","null","556","null","312","null","159","109","null","null","397","null","284","null",
