"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06039","Madera County, California","155433","*****","*****","null","65635","*****","*****","null","53053","149","null","null","4770","null","276","null","1546","null","231","null","3020","null","230","null","141","null","78","null","250","191","null","null","2855","null","450","null","199","null","116","null","2656","435","null","null","89798","*****","*****","null","55047","2444","null","null","179","null","130","null","943","null","508","null","209","null","144","null","35","null","51","null","31179","null","2393","null","2206","484","null","null","1433","null","431","null","773","null","272","null",
"0500000US06041","Marin County, California","259943","*****","*****","null","218416","*****","*****","null","184960","534","null","null","5527","null","498","null","438","null","125","null","15110","null","454","null","249","null","122","null","2345","613","null","null","9787","null","736","null","339","null","186","null","9448","737","null","null","41527","*****","*****","null","17353","1712","null","null","240","null","209","null","473","null","334","null","257","null","96","null","322","null","421","null","19913","null","1607","null","2969","564","null","null","1478","null","453","null","1491","null","404","null",
"0500000US06043","Mariposa County, California","17420","*****","*****","null","15457","*****","*****","null","13935","56","null","null","253","null","51","null","325","null","124","null","210","null","91","null","53","null","56","null","12","21","null","null","669","null","169","null","35","null","54","null","634","165","null","null","1963","*****","*****","null","1467","131","null","null","0","null","19","null","7","null","13","null","0","null","19","null","0","null","19","null","403","null","137","null","86","57","null","null","10","null","15","null","76","null","57","null",
"0500000US06045","Mendocino County, California","87224","*****","*****","null","65326","*****","*****","null","56857","45","null","null","626","null","108","null","2938","null","305","null","1773","null","112","null","165","null","45","null","51","42","null","null","2916","null","339","null","24","null","28","null","2892","334","null","null","21898","*****","*****","null","16078","1040","null","null","2","null","4","null","880","null","452","null","32","null","32","null","0","null","29","null","3532","null","825","null","1374","418","null","null","272","null","152","null","1102","null","378","null",
"0500000US06047","Merced County, California","271382","*****","*****","null","109568","*****","*****","null","75037","140","null","null","7812","null","432","null","931","null","203","null","19650","null","528","null","607","null","183","null","226","127","null","null","5305","null","748","null","193","null","118","null","5112","727","null","null","161814","*****","*****","null","74397","3097","null","null","833","null","407","null","1570","null","501","null","699","null","296","null","47","null","44","null","78509","null","3108","null","5759","997","null","null","3930","null","748","null","1829","null","577","null",
"0500000US06049","Modoc County, California","8907","*****","*****","null","7616","*****","*****","null","6920","6","null","null","136","null","26","null","372","null","123","null","99","null","119","null","9","null","8","null","3","6","null","null","77","null","42","null","0","null","17","null","77","42","null","null","1291","*****","*****","null","1056","111","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","108","null","80","null","127","102","null","null","43","null","47","null","84","null","76","null",
"0500000US06051","Mono County, California","14310","*****","*****","null","10445","*****","*****","null","9308","148","null","null","59","null","70","null","242","null","70","null","363","null","257","null","0","null","19","null","96","148","null","null","377","null","265","null","0","null","19","null","377","265","null","null","3865","*****","*****","null","2613","542","null","null","52","null","52","null","255","null","169","null","4","null","8","null","0","null","19","null","786","null","438","null","155","162","null","null","89","null","137","null","66","null","78","null",
"0500000US06053","Monterey County, California","433410","*****","*****","null","179116","*****","*****","null","129738","208","null","null","10737","null","335","null","819","null","216","null","23348","null","591","null","1982","null","116","null","561","224","null","null","11931","null","740","null","307","null","159","null","11624","742","null","null","254294","*****","*****","null","101254","3917","null","null","630","null","213","null","2174","null","594","null","978","null","406","null","153","null","149","null","142480","null","4069","null","6625","860","null","null","3308","null","607","null","3317","null","561","null",
"0500000US06055","Napa County, California","139623","*****","*****","null","92079","*****","*****","null","73210","212","null","null","2780","null","153","null","407","null","172","null","11196","null","338","null","284","null","91","null","526","210","null","null","3676","null","453","null","207","null","101","null","3469","439","null","null","47544","*****","*****","null","29257","1542","null","null","103","null","72","null","789","null","496","null","156","null","108","null","17","null","20","null","15518","null","1592","null","1704","470","null","null","809","null","242","null","895","null","381","null",
"0500000US06057","Nevada County, California","99244","*****","*****","null","89871","*****","*****","null","84513","107","null","null","478","null","151","null","413","null","220","null","1043","null","225","null","124","null","44","null","98","100","null","null","3202","null","339","null","45","null","44","null","3157","336","null","null","9373","*****","*****","null","7213","531","null","null","92","null","121","null","310","null","273","null","30","null","34","null","0","null","29","null","1156","null","473","null","572","327","null","null","111","null","104","null","461","null","321","null",
"0500000US06059","Orange County, California","3168044","*****","*****","null","2089318","*****","*****","null","1285855","1000","null","null","51269","null","1081","null","6116","null","647","null","642948","null","2403","null","8928","null","499","null","6032","955","null","null","88170","null","2788","null","4409","null","728","null","83761","2733","null","null","1078726","*****","*****","null","645408","7821","null","null","4322","null","755","null","8308","null","1151","null","6094","null","713","null","1224","null","348","null","371531","null","8352","null","41839","2436","null","null","21290","null","1705","null","20549","null","1591","null",
"0500000US06061","Placer County, California","385512","*****","*****","null","331543","*****","*****","null","280105","169","null","null","6361","null","440","null","1373","null","213","null","28573","null","685","null","566","null","132","null","391","172","null","null","14174","null","890","null","426","null","182","null","13748","877","null","null","53969","*****","*****","null","36611","1407","null","null","265","null","108","null","679","null","288","null","336","null","154","null","292","null","365","null","10967","null","1179","null","4819","655","null","null","1931","null","402","null","2888","null","461","null",
"0500000US06063","Plumas County, California","18660","*****","*****","null","16990","*****","*****","null","15514","145","null","null","141","null","142","null","268","null","140","null","212","null","72","null","86","null","83","null","94","145","null","null","675","null","228","null","0","null","19","null","675","228","null","null","1670","*****","*****","null","1341","126","null","null","25","null","40","null","14","null","23","null","10","null","15","null","0","null","19","null","201","null","103","null","79","50","null","null","18","null","24","null","61","null","49","null",
"0500000US06065","Riverside County, California","2411439","*****","*****","null","1231961","*****","*****","null","851702","892","null","null","147160","null","1619","null","10362","null","834","null","152347","null","1503","null","6471","null","537","null","5936","979","null","null","57983","null","2486","null","2296","null","524","null","55687","2475","null","null","1179478","*****","*****","null","592952","10158","null","null","9676","null","1369","null","9403","null","1279","null","4914","null","737","null","1014","null","338","null","513186","null","11136","null","48333","2898","null","null","27833","null","2124","null","20500","null","1858","null",
