"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018M","B03002_018MA","B03002_018EA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06075","San Francisco County, California","817501","*****","*****","null","693334","null","*****","*****","341100","null","471","null","45909","null","703","null","1942","374","null","null","270621","1270","null","null","3362","148","null","null","3747","null","789","null","26653","null","1432","null","945","null","246","null","25708","1408","null","null","124167","*****","*****","null","70461","2313","null","null","2083","null","647","null","1488","null","419","null","1978","null","501","null","99","null","71","null","40048","2313","null","null","8010","684","null","null","4266","null","557","null","3744","null","592","null",
"0500000US06077","San Joaquin County, California","693177","*****","*****","null","420648","null","*****","*****","245469","null","269","null","46840","null","983","null","2840","365","null","null","97353","1518","null","null","3504","273","null","null","968","null","335","null","23674","null","1870","null","1146","null","486","null","22528","1813","null","null","272529","*****","*****","null","161818","4023","null","null","3061","null","708","null","3536","null","695","null","2043","null","468","null","236","null","141","null","77388","3789","null","null","24447","1842","null","null","7602","null","976","null","16845","null","1586","null",
"0500000US06079","San Luis Obispo County, California","272094","*****","*****","null","214591","null","*****","*****","191906","null","317","null","5558","null","237","null","1050","194","null","null","9179","416","null","null","323","164","null","null","438","null","319","null","6137","null","544","null","322","null","163","null","5815","498","null","null","57503","*****","*****","null","36332","1992","null","null","384","null","247","null","1418","null","611","null","277","null","136","null","9","null","15","null","15938","1828","null","null","3145","635","null","null","1421","null","319","null","1724","null","520","null",
"0500000US06081","San Mateo County, California","729543","*****","*****","null","544801","null","*****","*****","305350","null","374","null","18486","null","564","null","998","234","null","null","182829","1404","null","null","10374","289","null","null","2550","null","689","null","24214","null","1616","null","1277","null","321","null","22937","1563","null","null","184742","*****","*****","null","118525","2925","null","null","1400","null","667","null","1574","null","463","null","2667","null","605","null","264","null","131","null","50523","2816","null","null","9789","1138","null","null","5095","null","675","null","4694","null","868","null",
"0500000US06083","Santa Barbara County, California","427288","*****","*****","null","242437","null","*****","*****","202598","null","183","null","7118","null","340","null","2101","303","null","null","20577","513","null","null","745","69","null","null","529","null","155","null","8769","null","651","null","203","null","101","null","8566","623","null","null","184851","*****","*****","null","113041","3588","null","null","1364","null","473","null","2473","null","494","null","856","null","340","null","85","null","63","null","59488","3314","null","null","7544","876","null","null","4033","null","606","null","3511","null","603","null",
"0500000US06085","Santa Clara County, California","1812208","*****","*****","null","1326615","null","*****","*****","628410","null","562","null","43760","null","744","null","4014","450","null","null","585369","1851","null","null","5975","469","null","null","3804","null","717","null","55283","null","2341","null","3623","null","564","null","51660","2185","null","null","485593","*****","*****","null","271922","5494","null","null","4109","null","820","null","5620","null","829","null","4562","null","653","null","342","null","156","null","171240","5658","null","null","27798","1766","null","null","15688","null","1526","null","12110","null","1122","null",
"0500000US06087","Santa Cruz County, California","264808","*****","*****","null","179105","null","*****","*****","156844","null","274","null","2488","null","244","null","733","195","null","null","10839","514","null","null","334","136","null","null","243","null","146","null","7624","null","744","null","461","null","301","null","7163","620","null","null","85703","*****","*****","null","58546","2041","null","null","111","null","62","null","748","null","339","null","522","null","228","null","5","null","10","null","22356","1978","null","null","3415","490","null","null","1947","null","396","null","1468","null","334","null",
"0500000US06089","Shasta County, California","177966","*****","*****","null","162547","null","*****","*****","145932","null","191","null","1636","null","122","null","3790","556","null","null","4303","348","null","null","342","76","null","null","91","null","116","null","6453","null","696","null","150","null","162","null","6303","687","null","null","15419","*****","*****","null","9258","722","null","null","55","null","47","null","544","null","190","null","71","null","50","null","19","null","23","null","3987","771","null","null","1485","364","null","null","845","null","255","null","640","null","292","null",
"0500000US06091","Sierra County, California","3127","214","null","null","2846","null","203","null","2727","null","194","null","18","null","21","null","35","32","null","null","2","5","null","null","14","20","null","null","0","null","12","null","50","null","44","null","0","null","12","null","50","44","null","null","281","65","null","null","139","67","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","135","95","null","null","7","11","null","null","7","null","11","null","0","null","12","null",
"0500000US06093","Siskiyou County, California","44503","*****","*****","null","39704","null","*****","*****","35153","null","9","null","564","null","84","null","1178","159","null","null","610","91","null","null","114","20","null","null","0","null","26","null","2085","null","232","null","9","null","9","null","2076","231","null","null","4799","*****","*****","null","3243","286","null","null","10","null","12","null","90","null","56","null","0","null","26","null","79","null","97","null","561","178","null","null","816","212","null","null","172","null","79","null","644","null","205","null",
"0500000US06095","Solano County, California","417258","*****","*****","null","315176","null","*****","*****","168938","null","295","null","57321","null","1039","null","1494","234","null","null","59677","1159","null","null","3546","205","null","null","1261","null","518","null","22939","null","1296","null","1018","null","318","null","21921","1282","null","null","102082","*****","*****","null","54516","2191","null","null","1215","null","390","null","995","null","259","null","1603","null","403","null","90","null","62","null","35564","2258","null","null","8099","996","null","null","4858","null","878","null","3241","null","657","null",
"0500000US06097","Sonoma County, California","487469","*****","*****","null","364651","null","*****","*****","320511","null","317","null","6875","null","450","null","3641","457","null","null","19101","621","null","null","1540","219","null","null","986","null","375","null","11997","null","972","null","315","null","138","null","11682","965","null","null","122818","*****","*****","null","69242","2578","null","null","773","null","306","null","2761","null","939","null","513","null","319","null","240","null","186","null","43669","2761","null","null","5620","809","null","null","2885","null","565","null","2735","null","560","null",
"0500000US06099","Stanislaus County, California","518321","*****","*****","null","298054","null","*****","*****","238928","null","287","null","13305","null","493","null","2633","375","null","null","26349","785","null","null","3423","235","null","null","772","null","323","null","12644","null","1034","null","1087","null","401","null","11557","963","null","null","220267","*****","*****","null","157622","3045","null","null","1330","null","433","null","1610","null","424","null","1002","null","379","null","387","null","180","null","48392","2795","null","null","9924","1136","null","null","5126","null","798","null","4798","null","797","null",
"0500000US06101","Sutter County, California","94787","*****","*****","null","67249","null","*****","*****","47206","null","36","null","1637","null","189","null","807","182","null","null","13396","511","null","null","303","62","null","null","79","null","61","null","3821","null","562","null","260","null","178","null","3561","521","null","null","27538","*****","*****","null","16126","1196","null","null","98","null","125","null","592","null","304","null","106","null","96","null","0","null","29","null","8960","1096","null","null","1656","416","null","null","746","null","241","null","910","null","324","null",
"0500000US06103","Tehama County, California","63241","*****","*****","null","49015","null","*****","*****","45080","null","51","null","410","null","99","null","1082","186","null","null","726","125","null","null","58","37","null","null","15","null","16","null","1644","null","267","null","74","null","66","null","1570","247","null","null","14226","*****","*****","null","9991","844","null","null","32","null","47","null","344","null","199","null","19","null","25","null","0","null","29","null","3011","788","null","null","829","306","null","null","439","null","197","null","390","null","216","null",
"0500000US06105","Trinity County, California","13638","*****","*****","null","12681","null","*****","*****","11337","null","38","null","127","null","89","null","254","145","null","null","161","38","null","null","31","35","null","null","38","null","38","null","733","null","170","null","0","null","19","null","733","170","null","null","957","*****","*****","null","666","153","null","null","0","null","19","null","19","null","29","null","6","null","8","null","0","null","19","null","105","68","null","null","161","113","null","null","15","null","23","null","146","null","116","null",
"0500000US06107","Tulare County, California","446644","*****","*****","null","173111","null","*****","*****","142669","null","308","null","5765","null","348","null","3048","344","null","null","14264","562","null","null","412","117","null","null","415","null","285","null","6538","null","786","null","278","null","154","null","6260","753","null","null","273533","*****","*****","null","216449","3123","null","null","1738","null","510","null","2808","null","701","null","701","null","308","null","70","null","82","null","42830","2739","null","null","8937","1275","null","null","4479","null","864","null","4458","null","847","null",
"0500000US06109","Tuolumne County, California","54728","*****","*****","null","48746","null","*****","*****","44507","null","451","null","1122","null","107","null","728","152","null","null","572","132","null","null","105","76","null","null","343","null","452","null","1369","null","221","null","32","null","28","null","1337","219","null","null","5982","*****","*****","null","3281","399","null","null","34","null","24","null","92","null","56","null","38","null","33","null","36","null","43","null","1810","401","null","null","691","231","null","null","353","null","145","null","338","null","170","null",
"0500000US06111","Ventura County, California","829017","*****","*****","null","491244","null","*****","*****","398921","null","316","null","13336","null","536","null","2072","335","null","null","55723","861","null","null","1142","181","null","null","837","null","275","null","19213","null","1069","null","942","null","289","null","18271","1006","null","null","337773","*****","*****","null","230947","4661","null","null","1843","null","424","null","3935","null","887","null","1526","null","419","null","97","null","76","null","84272","4810","null","null","15153","1497","null","null","8282","null","1141","null","6871","null","842","null",
"0500000US06113","Yolo County, California","202288","*****","*****","null","140241","null","*****","*****","99870","null","260","null","4534","null","373","null","1098","229","null","null","25654","582","null","null","1029","85","null","null","540","null","224","null","7516","null","715","null","339","null","205","null","7177","751","null","null","62047","*****","*****","null","34883","2011","null","null","611","null","417","null","1225","null","400","null","449","null","193","null","147","null","132","null","20350","1870","null","null","4382","646","null","null","2237","null","452","null","2145","null","514","null",
"0500000US06115","Yuba County, California","72574","*****","*****","null","53882","null","*****","*****","42013","null","283","null","2173","null","328","null","742","178","null","null","5218","210","null","null","242","73","null","null","415","null","305","null","3079","null","438","null","23","null","24","null","3056","432","null","null","18692","*****","*****","null","8610","1022","null","null","17","null","19","null","339","null","176","null","17","null","28","null","6","null","9","null","7472","946","null","null","2231","504","null","null","1626","null","460","null","605","null","198","null",
